,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.14712755,1.0,0.0,1.0,0.0,1.0,1.0
1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
5,0.0,1.0,0.0,1.0,0.0,1.0,1.0
6,0.2769379,1.0,0.0,1.0,0.0,1.0,1.0
7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
8,0.52367526,0.0,0.0,1.0,0.0,1.0,1.0
9,0.5361119,0.0,0.0,1.0,0.0,1.0,1.0
10,0.0,1.0,0.0,1.0,0.0,1.0,1.0
11,0.0,1.0,0.0,1.0,0.0,1.0,1.0
12,0.36681402,0.0,0.0,1.0,0.0,1.0,1.0
13,0.0,1.0,0.0,1.0,0.0,1.0,1.0
14,0.67347115,0.0,0.0,1.0,0.0,1.0,1.0
15,0.0,1.0,0.0,1.0,0.0,1.0,1.0
16,0.0,1.0,0.0,1.0,0.0,1.0,1.0
17,0.0,1.0,0.0,1.0,0.0,1.0,1.0
18,0.0,1.0,0.0,1.0,0.0,1.0,1.0
19,3.419476,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,1.0,0.0,1.0,0.0,1.0,1.0
21,0.75445795,0.0,0.0,1.0,0.0,1.0,1.0
22,0.0,1.0,0.0,1.0,0.0,1.0,1.0
23,0.0,1.0,0.0,1.0,0.0,1.0,1.0
24,0.0,1.0,0.0,1.0,0.0,1.0,1.0
25,0.0,1.0,0.0,1.0,0.0,1.0,1.0
26,0.15075411,1.0,0.0,1.0,0.0,1.0,1.0
27,0.15308464,1.0,0.0,1.0,0.0,1.0,1.0
28,0.0,1.0,0.0,1.0,0.0,1.0,1.0
29,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,0.0,1.0,0.0,1.0,0.0,1.0,1.0
31,1.8270543,0.0,0.0,1.0,0.0,1.0,1.0
32,0.0,1.0,0.0,1.0,0.0,1.0,1.0
33,0.0,1.0,0.0,1.0,0.0,1.0,1.0
34,6.5736904,0.0,0.0,0.0,0.0,1.0,1.0
35,0.0,1.0,0.0,1.0,0.0,1.0,1.0
36,0.0,1.0,0.0,1.0,0.0,1.0,1.0
37,0.0,1.0,0.0,1.0,0.0,1.0,1.0
38,0.0,1.0,0.0,1.0,0.0,1.0,1.0
39,0.17958659,1.0,0.0,1.0,0.0,1.0,1.0
40,0.0,1.0,0.0,1.0,0.0,1.0,1.0
41,0.0,1.0,0.0,1.0,0.0,1.0,1.0
42,0.975893,0.0,0.0,1.0,0.0,1.0,1.0
43,0.0,1.0,0.0,1.0,0.0,1.0,1.0
44,23.034088,0.0,0.0,0.0,0.0,1.0,1.0
45,0.0,1.0,0.0,1.0,0.0,1.0,1.0
46,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,0.0,1.0,0.0,1.0,0.0,1.0,1.0
48,0.48379147,0.0,0.0,1.0,0.0,1.0,1.0
49,0.0,1.0,0.0,1.0,0.0,1.0,1.0
50,0.0,1.0,0.0,1.0,0.0,1.0,1.0
