,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1,0.55811065,0.0,0.0,1.0,65.0,0.0,1.0
2,0.9102392,0.0,0.0,1.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0,0.0,1.0,1.0
4,7.0234537,0.0,1.0332711,0.0,64.0,0.0,1.0
5,2.0056083,0.0,1.737178,0.0,1.0,0.0,1.0
6,1.442695,0.0,0.0,1.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0,0.0,1.0,1.0
9,1.464311,0.0,1.7102414,0.0,1.0,0.0,1.0
10,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,0.0,0.0,0.0,1.0,0.0,1.0,1.0
12,1.9868847,0.0,1.6097184,0.0,10.0,0.0,1.0
13,12.223865,0.0,0.7964786,0.0,2432.0032,1.0,1.0
14,0.0,0.0,0.0,1.0,0.0,1.0,1.0
15,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,1.2857069,0.0,1.2009101,0.0,204.48291,1.0,1.0
17,0.0,0.0,0.0,1.0,0.0,1.0,1.0
18,2.733671,0.0,1.9235934,0.0,129.0,1.0,1.0
19,0.0,0.0,0.0,1.0,10.0,0.0,1.0
20,3.128278,0.0,1.3352329,0.0,10.0,0.0,1.0
21,2.8778853,0.0,1.6097184,0.0,61.0,0.0,1.0
22,1.442695,0.0,0.0,1.0,0.0,0.0,1.0
23,0.7788051,0.0,0.0,1.0,0.0,0.0,1.0
24,0.0,0.0,0.0,1.0,0.0,1.0,1.0
25,0.0,0.0,0.0,1.0,0.0,1.0,1.0
26,2.790553,0.0,1.737178,0.0,6.0,0.0,1.0
27,1.1464165,0.0,2.88539,0.0,30.0,0.0,1.0
28,0.0,0.0,0.0,1.0,0.0,1.0,1.0
29,0.4342945,0.0,0.0,1.0,0.0,0.0,1.0
