,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,21.940502,0.0,0.43764484,1.0,50.0,1.0,1.0
1,43.410686,0.0,0.0,0.0,0.0,1.0,1.0
2,162.89862,1.0,0.0,0.0,25.0,1.0,1.0
3,10.0777235,0.0,0.0,0.0,0.0,0.0,1.0
4,1.4456108,0.0,0.0,0.0,0.0,1.0,1.0
5,0.5584874,0.0,0.0,0.0,0.0,0.0,1.0
6,123.664055,0.0,0.0,0.0,0.0,0.0,1.0
7,39.53373,0.0,0.9350623,1.0,3.5454545,1.0,1.0
8,44.863472,0.0,0.8872843,1.0,0.0,1.0,1.0
9,87.70461,0.0,0.73866117,1.0,50.0,1.0,1.0
10,39.310055,0.0,0.5346553,1.0,4.0,1.0,1.0
11,52.09455,0.0,0.34649256,1.0,0.0,1.0,1.0
12,108.05984,0.0,0.16241732,0.0,10.0,1.0,1.0
13,91.78235,0.0,0.1827395,0.0,10.0,1.0,1.0
14,46.619057,0.0,0.0,0.0,0.0,0.0,1.0
15,18.120665,0.0,0.30010164,0.0,0.0,0.0,1.0
16,90.80711,0.0,0.37671873,1.0,0.0,1.0,1.0
17,34.656,0.0,0.8140964,1.0,8.333333,1.0,1.0
18,44.987488,0.0,0.0,0.0,0.0,0.0,1.0
19,15.532976,0.0,0.0,0.0,160.0,1.0,1.0
20,9.6515045,0.0,0.0,0.0,0.0,1.0,1.0
21,162.89862,1.0,0.16608472,1.0,0.0,0.0,1.0
22,13.452868,0.0,0.0,0.0,0.0,1.0,1.0
23,11.430826,0.0,0.3932382,1.0,5.0,1.0,1.0
24,192.33876,1.0,0.75508714,1.0,0.0,1.0,1.0
25,9.516339,0.0,0.0,0.0,0.0,0.0,1.0
26,41.594543,0.0,0.0,0.0,0.0,0.0,1.0
27,17.234253,0.0,0.0,0.0,25.0,1.0,1.0
28,169.54451,1.0,0.82585055,1.0,5.0,1.0,1.0
29,11.21628,0.0,0.40567532,1.0,10.0,1.0,1.0
30,7.489715,0.0,0.0,0.0,0.0,1.0,1.0
31,15.254538,0.0,0.3931129,1.0,3.1034484,1.0,1.0
32,15.179117,0.0,0.0,0.0,0.0,0.0,1.0
33,7.6799436,0.0,0.0,0.0,0.0,0.0,1.0
34,32.68438,0.0,0.8835207,1.0,3.75,1.0,1.0
35,24.15596,0.0,0.0,0.0,0.0,0.0,1.0
36,37.041367,0.0,0.0,0.0,0.0,1.0,1.0
37,12.541433,0.0,1.0963216,1.0,2.2222223,1.0,1.0
38,10.128804,0.0,0.57989854,1.0,0.0,1.0,1.0
39,148.71118,0.0,0.9024146,1.0,2.9864254,1.0,1.0
40,201.31487,1.0,0.15624371,1.0,10.0,1.0,1.0
41,70.93992,0.0,0.42131063,1.0,0.0,1.0,1.0
42,35.607006,0.0,0.18509342,0.0,5.0,1.0,1.0
43,1.6967238,0.0,0.0,0.0,0.0,0.0,1.0
44,30.174492,0.0,0.0,0.0,0.0,0.0,1.0
45,8.664212,0.0,0.96154344,1.0,15.0,1.0,1.0
46,71.312805,0.0,0.8106626,1.0,2.5,1.0,1.0
47,4.6716623,0.0,0.0,0.0,0.0,0.0,1.0
48,7.601847,0.0,0.0,0.0,10.0,1.0,1.0
49,2.0388663,0.0,0.0,0.0,0.0,0.0,1.0
50,289.67758,1.0,0.41701955,1.0,0.0,1.0,1.0
51,43.339775,0.0,0.0,0.0,0.0,0.0,1.0
52,0.9975769,0.0,0.0,0.0,0.0,1.0,1.0
53,10.56589,0.0,0.43862745,1.0,0.0,1.0,1.0
54,100.046364,0.0,0.72264266,1.0,15.0,1.0,1.0
55,114.051186,0.0,0.0,0.0,0.0,1.0,1.0
56,126.03969,0.0,0.78667635,1.0,1.5909091,1.0,1.0
57,2.8150098,0.0,0.0,0.0,0.0,0.0,1.0
58,62.385376,0.0,0.83781916,1.0,9.375,1.0,1.0
59,4.7820196,0.0,0.0,0.0,0.0,0.0,1.0
60,56.584133,0.0,0.0,0.0,0.0,1.0,1.0
61,8.03211,0.0,0.0,0.0,0.0,0.0,1.0
62,50.589146,0.0,0.50470656,1.0,5.0,1.0,1.0
63,194.02617,1.0,0.73672074,1.0,10.0,1.0,1.0
64,36.89294,0.0,1.0235794,1.0,0.0,0.0,1.0
65,21.670338,0.0,0.9395867,1.0,0.0,1.0,1.0
66,157.14552,1.0,0.36321867,1.0,5.0,1.0,1.0
67,31.830275,0.0,0.0,0.0,0.0,0.0,1.0
68,18.468006,0.0,0.24044918,0.0,0.0,0.0,1.0
69,33.144367,0.0,0.0,0.0,0.0,0.0,1.0
70,4.4145694,0.0,0.0,0.0,0.0,1.0,1.0
71,16.09786,0.0,0.0,0.0,0.0,1.0,1.0
72,10.494174,0.0,0.32351544,0.0,0.0,0.0,1.0
73,8.54322,0.0,0.49881455,1.0,2.5,1.0,1.0
74,45.361633,0.0,0.0,0.0,5.0,1.0,1.0
75,2.1404698,0.0,0.0,0.0,0.0,0.0,1.0
76,91.67652,0.0,0.0,0.0,0.0,1.0,1.0
77,23.104162,0.0,0.0,0.0,0.0,0.0,1.0
78,30.16885,0.0,0.0,0.0,0.0,0.0,1.0
79,32.60769,0.0,0.0,0.0,0.0,0.0,1.0
80,7.851393,0.0,0.0,0.0,0.0,0.0,1.0
81,43.057327,0.0,0.31552985,0.0,4.861111,1.0,1.0
82,54.61547,0.0,0.7519456,1.0,8.731809,1.0,1.0
83,6.0387406,0.0,0.0,0.0,10.0,1.0,1.0
84,102.55026,0.0,0.0,0.0,0.0,0.0,1.0
85,58.35633,0.0,0.19058423,0.0,0.0,1.0,1.0
86,48.49654,0.0,0.18571843,0.0,0.0,1.0,1.0
87,109.81501,0.0,0.7865266,1.0,1.7647059,1.0,1.0
88,6.874915,0.0,0.0,0.0,0.0,0.0,1.0
89,6.8537817,0.0,0.0,0.0,0.0,0.0,1.0
90,54.58258,0.0,0.86206394,1.0,5.0,1.0,1.0
91,15.614402,0.0,0.0,0.0,0.0,0.0,1.0
92,22.803314,0.0,0.0,0.0,15.0,1.0,1.0
93,148.71118,0.0,0.75714374,1.0,5.9459457,1.0,1.0
94,5.8182344,0.0,0.0,0.0,3.75,1.0,1.0
95,37.54024,0.0,0.0,0.0,0.0,0.0,1.0
96,157.0529,1.0,0.16344951,1.0,2.5,1.0,1.0
97,10.275912,0.0,0.93052894,1.0,5.0,1.0,1.0
98,10.423659,0.0,0.0,0.0,0.0,0.0,1.0
99,22.289085,0.0,0.0,0.0,5.0,0.0,1.0
100,34.854427,0.0,0.411096,1.0,0.0,1.0,1.0
101,11.083719,0.0,0.0,0.0,0.0,1.0,1.0
102,33.228123,0.0,0.0,0.0,5.0,1.0,1.0
103,13.832803,0.0,0.0,0.0,140.0,1.0,1.0
104,11.060545,0.0,0.0,0.0,5.0,1.0,1.0
105,14.911373,0.0,0.0,0.0,30.0,1.0,1.0
106,95.481155,0.0,0.4434783,1.0,10.0,1.0,1.0
107,114.74522,0.0,0.40137044,1.0,0.0,1.0,1.0
108,46.6676,0.0,0.0,0.0,5.0,1.0,1.0
109,15.879369,0.0,1.0228827,1.0,3.3333333,1.0,1.0
110,6.8901668,0.0,1.7466644,1.0,10.0,0.0,1.0
111,68.47826,0.0,0.0,0.0,0.0,0.0,1.0
112,201.31487,1.0,0.47448307,1.0,0.0,1.0,1.0
113,34.656,0.0,0.8091172,1.0,10.0,1.0,1.0
114,8.520063,0.0,0.0,0.0,0.0,0.0,1.0
115,12.664682,0.0,0.9985705,1.0,0.0,1.0,1.0
116,2.098713,0.0,0.19703759,0.0,0.0,0.0,1.0
117,88.030334,0.0,0.46917686,1.0,0.0,1.0,1.0
118,27.698927,0.0,0.0,0.0,0.0,0.0,1.0
119,41.66443,0.0,0.15624371,0.0,25.0,1.0,1.0
120,162.89862,1.0,0.6515716,1.0,4.83871,1.0,1.0
121,104.295334,0.0,0.3776012,1.0,3.3333333,1.0,1.0
122,7.8653917,0.0,0.0,0.0,0.0,1.0,1.0
123,0.44737512,0.0,0.0,0.0,0.0,1.0,1.0
124,5.102669,0.0,0.2103673,0.0,3.3333333,1.0,1.0
125,55.734066,0.0,0.22953106,0.0,5.0,1.0,1.0
126,54.61547,0.0,0.7322709,1.0,4.4348583,1.0,1.0
127,25.287548,0.0,0.0,0.0,0.0,0.0,1.0
128,68.06544,0.0,0.793036,1.0,2.9331417,1.0,1.0
129,5.8182344,0.0,0.0,0.0,2.5,1.0,1.0
130,58.412144,0.0,0.19215962,0.0,0.0,1.0,1.0
131,10.729249,0.0,0.0,0.0,0.0,0.0,1.0
132,5.252734,0.0,1.0723953,1.0,3.081438,1.0,1.0
133,24.201403,0.0,0.0,0.0,0.0,0.0,1.0
134,2.8787127,0.0,0.0,0.0,0.0,1.0,1.0
135,20.654236,0.0,0.0,0.0,0.0,0.0,1.0
136,3.6930254,0.0,0.2749076,0.0,5.0,1.0,1.0
137,41.973827,0.0,0.9194148,1.0,2.173913,1.0,1.0
138,42.15214,0.0,0.2012148,0.0,10.0,1.0,1.0
139,94.74546,0.0,0.18946159,0.0,0.0,1.0,1.0
140,17.74215,0.0,1.1530567,1.0,3.75,1.0,1.0
141,30.745958,0.0,0.0,0.0,0.0,1.0,1.0
142,17.556814,0.0,0.0,0.0,65.0,1.0,1.0
143,75.54038,0.0,0.9885051,1.0,5.0,1.0,1.0
144,7.5944796,0.0,1.0903829,1.0,0.0,1.0,1.0
145,19.524197,0.0,0.0,0.0,0.0,1.0,1.0
146,108.12401,0.0,0.17190664,0.0,5.0,1.0,1.0
147,37.954956,0.0,1.0338938,1.0,3.1707318,1.0,1.0
148,27.933851,0.0,0.0,0.0,5.0,0.0,1.0
149,7.2799544,0.0,0.0,0.0,0.0,0.0,1.0
150,51.252895,0.0,0.40735188,1.0,5.0,1.0,1.0
151,7.6775036,0.0,0.0,0.0,0.0,0.0,1.0
152,35.109425,0.0,0.8548434,1.0,10.0,1.0,1.0
153,5.1158733,0.0,0.7213475,1.0,0.0,1.0,1.0
154,5.4459777,0.0,0.0,0.0,0.0,0.0,1.0
155,12.131858,0.0,0.0,0.0,0.0,0.0,1.0
156,10.864566,0.0,0.0,0.0,0.0,0.0,1.0
157,160.78677,1.0,0.0,0.0,0.0,0.0,1.0
158,28.082922,0.0,0.0,0.0,5.0,0.0,1.0
159,8.484585,0.0,0.0,0.0,0.0,0.0,1.0
160,9.569119,0.0,0.0,0.0,0.0,1.0,1.0
161,5.163557,0.0,0.0,0.0,0.0,0.0,1.0
162,29.770216,0.0,0.61352265,1.0,0.0,0.0,1.0
163,160.78677,1.0,0.18033688,1.0,0.0,1.0,1.0
164,4.9869018,0.0,0.24627854,0.0,5.0,0.0,1.0
165,96.26463,0.0,0.19215962,0.0,10.0,1.0,1.0
166,108.12401,0.0,0.8236566,1.0,2.7272727,1.0,1.0
167,28.751709,0.0,0.40830868,1.0,10.0,1.0,1.0
168,5.7857037,0.0,0.5880282,1.0,2.5,1.0,1.0
169,56.705853,0.0,0.9309142,1.0,2.5,1.0,1.0
170,164.33585,1.0,0.0,0.0,0.0,1.0,1.0
171,55.785797,0.0,0.21810405,0.0,5.0,1.0,1.0
172,6.44232,0.0,0.0,0.0,0.0,0.0,1.0
173,69.16197,0.0,0.17792325,0.0,0.0,1.0,1.0
174,12.983298,0.0,0.30692768,0.0,0.0,0.0,1.0
175,5.3201184,0.0,0.0,0.0,0.0,0.0,1.0
176,20.26314,0.0,0.0,0.0,0.0,1.0,1.0
177,3.4597585,0.0,0.0,0.0,0.0,0.0,1.0
178,86.00792,0.0,0.17769498,0.0,0.0,1.0,1.0
179,112.422745,0.0,0.8743252,1.0,0.0,1.0,1.0
180,5.0052547,0.0,0.0,0.0,0.0,1.0,1.0
181,53.545948,0.0,0.0,0.0,0.0,1.0,1.0
182,28.422018,0.0,0.16368628,0.0,0.0,0.0,1.0
183,58.54098,0.0,0.44570017,1.0,3.2608695,1.0,1.0
184,29.27376,0.0,1.0010086,1.0,2.0,1.0,1.0
185,36.361164,0.0,0.0,0.0,0.0,0.0,1.0
186,4.0038333,0.0,0.0,0.0,0.0,0.0,1.0
187,4.485204,0.0,0.30010164,0.0,0.0,1.0,1.0
188,28.90337,0.0,0.9002689,1.0,5.0,1.0,1.0
189,0.55034304,0.0,0.0,0.0,0.0,1.0,1.0
190,157.0529,1.0,0.17070867,1.0,5.0,1.0,1.0
191,21.00826,0.0,0.87063336,1.0,10.0,1.0,1.0
192,104.11519,0.0,0.40018874,1.0,5.0,1.0,1.0
193,40.18431,0.0,0.7705748,1.0,4.5,1.0,1.0
194,16.94759,0.0,0.0,0.0,5.0,1.0,1.0
195,8.353156,0.0,0.0,0.0,30.0,1.0,1.0
196,37.891407,0.0,0.0,0.0,0.0,0.0,1.0
197,150.16931,0.0,0.16925964,0.0,5.0,1.0,1.0
198,35.041145,0.0,1.1329585,1.0,5.0,1.0,1.0
199,9.968344,0.0,0.0,0.0,0.0,1.0,1.0
200,3.6110168,0.0,0.0,0.0,0.0,0.0,1.0
201,33.57556,0.0,0.0,0.0,110.0,1.0,1.0
202,11.661297,0.0,0.5142741,1.0,0.0,0.0,1.0
203,14.148257,0.0,0.0,0.0,10.0,1.0,1.0
204,7.5591583,0.0,0.0,0.0,0.0,0.0,1.0
205,15.763573,0.0,0.40712446,1.0,2.142857,1.0,1.0
206,6.8774285,0.0,0.6102336,1.0,0.0,0.0,1.0
207,11.026821,0.0,0.0,0.0,0.0,0.0,1.0
208,289.67758,1.0,0.73030096,1.0,2.0287404,1.0,1.0
209,56.395718,0.0,0.0,0.0,5.0,1.0,1.0
210,18.935095,0.0,0.0,0.0,0.0,0.0,1.0
211,123.12612,0.0,0.19802545,0.0,0.0,1.0,1.0
212,14.059098,0.0,0.19904932,0.0,0.0,1.0,1.0
213,76.17906,0.0,0.44640568,1.0,0.0,1.0,1.0
214,36.54184,0.0,0.0,0.0,0.0,1.0,1.0
215,7.808759,0.0,0.0,0.0,0.0,1.0,1.0
216,37.01228,0.0,0.24627854,0.0,0.0,0.0,1.0
217,63.640934,0.0,0.87982863,1.0,4.4015446,1.0,1.0
218,14.775327,0.0,0.5507767,1.0,0.0,0.0,1.0
219,32.55106,0.0,0.41593465,1.0,15.0,1.0,1.0
220,31.57798,0.0,0.80243164,1.0,55.0,1.0,1.0
221,25.994589,0.0,0.0,0.0,0.0,0.0,1.0
222,148.71118,0.0,0.37357098,1.0,2.142857,1.0,1.0
223,37.394707,0.0,0.0,0.0,0.0,1.0,1.0
224,65.30603,0.0,0.0,0.0,5.0,1.0,1.0
225,199.09329,1.0,0.94557977,1.0,70.0,1.0,1.0
226,0.7513329,0.0,0.0,0.0,0.0,1.0,1.0
227,44.398422,0.0,0.0,0.0,0.0,0.0,1.0
228,7.710232,0.0,0.5634068,1.0,0.0,0.0,1.0
229,103.31054,0.0,0.75643194,1.0,25.956303,1.0,1.0
230,24.16241,0.0,0.0,0.0,0.0,0.0,1.0
231,157.14552,1.0,0.69747096,1.0,35.0,1.0,1.0
232,9.977264,0.0,0.0,0.0,0.0,0.0,1.0
233,114.051186,0.0,0.0,0.0,15.0,1.0,1.0
234,0.64775157,0.0,0.0,0.0,0.0,0.0,1.0
235,10.679651,0.0,0.0,0.0,0.0,0.0,1.0
236,71.23084,0.0,0.18873917,0.0,0.0,1.0,1.0
237,68.74262,0.0,0.0,0.0,0.0,0.0,1.0
238,27.329147,0.0,0.0,0.0,16.071428,1.0,1.0
239,19.340763,0.0,0.8534821,1.0,4.6875,1.0,1.0
240,14.67975,0.0,0.22449978,0.0,0.0,1.0,1.0
241,203.24403,1.0,0.427274,1.0,0.0,1.0,1.0
242,10.133437,0.0,0.0,0.0,0.0,0.0,1.0
243,3.0451052,0.0,0.0,0.0,0.0,0.0,1.0
244,177.00836,1.0,0.18873917,1.0,0.0,1.0,1.0
245,14.946864,0.0,0.39588496,1.0,20.0,1.0,1.0
246,68.47826,0.0,0.0,0.0,0.0,1.0,1.0
247,17.190594,0.0,0.0,0.0,0.0,0.0,1.0
248,7.4336157,0.0,0.0,0.0,35.0,1.0,1.0
249,23.27654,0.0,0.82396924,1.0,1.875,1.0,1.0
250,60.97682,0.0,0.20417164,0.0,5.0,1.0,1.0
251,55.552677,0.0,0.33522868,1.0,0.0,1.0,1.0
252,50.690937,0.0,0.0,0.0,0.0,1.0,1.0
253,28.33547,0.0,1.0527774,1.0,5.0,1.0,1.0
254,1.7878563,0.0,0.0,0.0,0.0,0.0,1.0
255,71.84126,0.0,0.0,0.0,0.0,1.0,1.0
256,216.8631,1.0,0.0,0.0,0.0,1.0,1.0
257,1.4498463,0.0,0.0,0.0,35.0,1.0,1.0
258,3.3246999,0.0,0.0,0.0,0.0,0.0,1.0
259,25.087969,0.0,0.0,0.0,0.0,1.0,1.0
260,12.787605,0.0,0.0,0.0,0.0,0.0,1.0
261,22.974045,0.0,0.0,0.0,0.0,1.0,1.0
262,2.9388359,0.0,0.0,0.0,0.0,0.0,1.0
263,4.2627583,0.0,0.0,0.0,5.0,1.0,1.0
264,28.12964,0.0,0.4025512,1.0,4.375,1.0,1.0
265,23.625696,0.0,0.36419266,0.0,0.0,1.0,1.0
266,175.08441,1.0,0.89764726,1.0,5.0,1.0,1.0
267,24.770674,0.0,1.0871873,1.0,4.0,1.0,1.0
268,79.30199,0.0,0.1575886,0.0,0.0,1.0,1.0
269,48.6063,0.0,0.89900285,1.0,2.5,1.0,1.0
270,18.55434,0.0,0.0,0.0,0.0,0.0,1.0
271,108.64886,0.0,0.3624045,1.0,0.0,1.0,1.0
272,206.01547,1.0,0.0,0.0,0.0,1.0,1.0
273,6.685556,0.0,0.0,0.0,0.0,0.0,1.0
274,10.678184,0.0,0.0,0.0,0.0,1.0,1.0
275,95.481155,0.0,0.8025959,1.0,1.9708029,1.0,1.0
276,7.5943246,0.0,0.0,0.0,0.0,0.0,1.0
277,15.668634,0.0,0.0,0.0,0.0,0.0,1.0
278,8.26547,0.0,0.0,0.0,0.0,0.0,1.0
279,121.98562,0.0,0.0,0.0,0.0,0.0,1.0
280,119.68901,0.0,0.0,0.0,0.0,0.0,1.0
281,6.3107724,0.0,0.0,0.0,0.0,0.0,1.0
282,10.099306,0.0,0.2835785,0.0,0.0,1.0,1.0
283,44.69024,0.0,0.0,0.0,0.0,0.0,1.0
284,20.792326,0.0,0.0,0.0,0.0,0.0,1.0
285,117.67332,0.0,0.83411604,1.0,12.173913,1.0,1.0
286,116.41962,0.0,0.3495108,1.0,3.3333333,1.0,1.0
287,28.244349,0.0,0.0,0.0,0.0,0.0,1.0
288,11.094333,0.0,0.0,0.0,0.0,0.0,1.0
289,9.719835,0.0,0.0,0.0,0.0,1.0,1.0
290,83.74636,0.0,0.0,0.0,0.0,0.0,1.0
291,11.921298,0.0,0.17792325,0.0,0.0,0.0,1.0
292,96.95382,0.0,0.0,0.0,0.0,1.0,1.0
293,11.812409,0.0,0.52895826,1.0,5.0,1.0,1.0
294,39.930157,0.0,0.803953,1.0,12.531206,1.0,1.0
295,36.625763,0.0,0.0,0.0,0.0,0.0,1.0
296,31.322134,0.0,0.19655648,0.0,0.0,0.0,1.0
297,19.278652,0.0,0.48509547,1.0,0.0,0.0,1.0
298,148.55905,0.0,0.7564991,1.0,3.258427,1.0,1.0
299,17.834013,0.0,0.7645689,1.0,8.540373,1.0,1.0
300,60.35538,0.0,0.0,0.0,0.0,0.0,1.0
301,55.693916,0.0,0.8858124,1.0,1.25,1.0,1.0
302,82.609,0.0,0.8056441,1.0,10.0,1.0,1.0
303,233.57999,1.0,0.34359992,1.0,0.0,1.0,1.0
304,74.94169,0.0,0.0,0.0,0.0,0.0,1.0
305,16.765411,0.0,0.1545404,0.0,0.0,0.0,1.0
306,12.092824,0.0,0.48047486,1.0,5.0,1.0,1.0
307,22.586525,0.0,0.40507996,1.0,20.0,1.0,1.0
308,11.388777,0.0,0.0,0.0,0.0,0.0,1.0
309,17.362867,0.0,0.0,0.0,0.0,1.0,1.0
310,1.5233,0.0,0.0,0.0,0.0,1.0,1.0
311,3.497746,0.0,0.34597626,0.0,0.0,0.0,1.0
312,10.282066,0.0,0.0,0.0,0.0,0.0,1.0
313,26.088577,0.0,0.8059283,1.0,3.0769231,1.0,1.0
314,9.672941,0.0,0.0,0.0,0.0,0.0,1.0
315,175.35594,1.0,0.0,0.0,0.0,1.0,1.0
