,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,16.736536,0.0,0.8573812,1.0,0.0,0.0,1.0
1,1.4163471,0.0,0.0,0.0,0.0,0.0,1.0
2,49.388798,1.0,0.80689496,1.0,0.0,1.0,1.0
3,18.503641,0.0,0.15884952,0.0,0.022727273,0.0,1.0
4,61.58784,1.0,0.36358652,1.0,0.040816326,1.0,1.0
5,67.98796,1.0,0.0,1.0,0.0,1.0,1.0
6,23.467522,0.0,0.36067376,1.0,0.0,0.0,1.0
7,39.41733,1.0,0.9623099,1.0,0.0,0.0,1.0
8,126.38807,1.0,0.891618,1.0,0.019417476,1.0,1.0
9,6.4556637,0.0,0.0,0.0,0.0,0.0,1.0
10,76.14793,1.0,0.32203063,1.0,0.00862069,1.0,1.0
11,9.054435,0.0,0.0,0.0,0.0,0.0,1.0
12,8.8267975,0.0,0.0,0.0,0.0,0.0,1.0
13,64.602585,1.0,0.36921683,1.0,0.0,1.0,1.0
14,32.22312,0.0,0.1739314,0.0,0.010204081,0.0,1.0
15,19.846863,0.0,0.47454786,1.0,0.0,0.0,1.0
16,5.6447062,0.0,0.30010164,0.0,0.0,0.0,1.0
17,31.239138,0.0,0.8231764,1.0,0.0,0.0,1.0
18,19.635256,0.0,0.0,0.0,0.0,0.0,1.0
19,28.573736,0.0,0.0,0.0,0.0,0.0,1.0
20,34.281647,0.0,0.44515342,1.0,0.0,1.0,1.0
21,17.215752,0.0,0.8495486,1.0,0.0,0.0,1.0
22,36.464123,1.0,0.0,0.0,0.0,1.0,1.0
23,45.978622,1.0,0.8521714,1.0,0.0,1.0,1.0
24,76.082054,1.0,1.0452305,1.0,0.0,1.0,1.0
25,6.292956,0.0,0.0,0.0,0.0,0.0,1.0
26,54.4551,1.0,0.91800004,1.0,0.0,1.0,1.0
27,13.56497,0.0,0.0,0.0,0.0,0.0,1.0
28,21.44823,0.0,0.19655648,0.0,0.0,1.0,1.0
29,53.583447,1.0,0.8809862,1.0,0.0072202166,1.0,1.0
30,23.638636,0.0,0.992722,1.0,0.010362694,0.0,1.0
31,37.262325,1.0,0.9080384,1.0,0.003012048,0.0,1.0
32,31.39053,0.0,0.45094344,1.0,0.0,0.0,1.0
33,32.709633,0.0,0.8819416,1.0,0.0,0.0,1.0
34,22.96502,0.0,0.0,0.0,0.0,0.0,1.0
35,85.540695,1.0,0.91500986,1.0,0.0,1.0,1.0
36,35.267292,0.0,0.7480637,1.0,0.024844721,1.0,1.0
37,18.769611,0.0,0.0,0.0,0.0,0.0,1.0
38,40.840786,1.0,0.8886684,1.0,0.017621145,1.0,1.0
39,29.652407,0.0,0.28853902,1.0,0.018867925,0.0,1.0
40,90.117615,1.0,0.68436104,1.0,0.014705882,1.0,1.0
41,97.94956,1.0,0.7894944,1.0,0.0,1.0,1.0
42,62.799656,1.0,0.0,1.0,0.0,1.0,1.0
43,27.531519,0.0,0.9573205,1.0,0.03846154,1.0,1.0
44,28.189583,0.0,0.488303,1.0,0.0,0.0,1.0
45,9.12162,0.0,0.0,0.0,0.0,0.0,1.0
46,65.30232,1.0,0.82190716,1.0,0.03448276,1.0,1.0
47,25.176317,0.0,0.96536565,1.0,0.0125,0.0,1.0
48,47.99006,1.0,0.3695625,1.0,0.011627907,1.0,1.0
49,95.91998,1.0,0.7718051,1.0,0.0,1.0,1.0
50,31.549166,0.0,0.47973254,1.0,0.0,0.0,1.0
51,6.1882095,0.0,0.0,0.0,0.0,0.0,1.0
52,39.303967,1.0,0.6070293,1.0,0.0,1.0,1.0
53,7.5565057,0.0,0.0,0.0,0.0,0.0,1.0
54,17.723677,0.0,0.0,0.0,0.0,0.0,1.0
55,16.325562,0.0,0.39118803,1.0,0.0,0.0,1.0
56,15.299569,0.0,0.0,0.0,0.0,0.0,1.0
57,37.0869,1.0,0.0,0.0,0.0,0.0,1.0
58,56.352577,1.0,0.42673767,1.0,0.0,1.0,1.0
59,115.729485,1.0,0.77458626,1.0,0.016129032,1.0,1.0
60,17.208788,0.0,0.17983407,0.0,0.0,0.0,1.0
61,36.137012,1.0,0.82554525,1.0,0.03448276,1.0,1.0
62,30.537987,0.0,0.0,0.0,0.0,0.0,1.0
63,2.0942352,0.0,0.187017,0.0,0.0,0.0,1.0
64,10.592816,0.0,0.41902003,0.0,0.0,0.0,1.0
65,40.872166,1.0,0.47427619,1.0,0.0,1.0,1.0
66,14.196832,0.0,0.0,0.0,0.0,0.0,1.0
67,42.752914,1.0,0.8462529,1.0,0.012738854,1.0,1.0
68,38.48392,1.0,0.45486522,1.0,0.0,1.0,1.0
69,6.7310343,0.0,1.7073997,1.0,0.0,0.0,1.0
70,14.324567,0.0,0.0,0.0,0.0,0.0,1.0
71,10.596649,0.0,0.900553,1.0,0.0,0.0,1.0
72,16.929892,0.0,0.76429254,1.0,0.0074626864,0.0,1.0
73,23.781261,0.0,1.0253015,1.0,0.021276595,0.0,1.0
74,97.94956,1.0,0.66688925,1.0,0.011049724,1.0,1.0
75,11.541627,0.0,0.0,0.0,0.0,0.0,1.0
76,36.947075,1.0,0.0,0.0,0.0,0.0,1.0
77,61.134075,1.0,0.7450031,1.0,0.016949153,1.0,1.0
78,24.039331,0.0,0.0,0.0,0.0,0.0,1.0
79,12.699956,0.0,0.87578386,1.0,0.0,0.0,1.0
80,23.809101,0.0,0.3552687,1.0,0.0,1.0,1.0
81,18.838503,0.0,0.0,0.0,0.0,0.0,1.0
82,2.2403429,0.0,0.43004337,0.0,0.0,0.0,1.0
83,23.638636,0.0,0.86884856,1.0,0.0,0.0,1.0
84,31.312065,0.0,0.8878022,1.0,0.0,1.0,1.0
85,30.79036,0.0,0.0,0.0,0.0,0.0,1.0
86,113.71168,1.0,0.7145941,1.0,0.0054054055,1.0,1.0
87,16.81184,0.0,0.78289,1.0,0.008,0.0,1.0
88,23.677542,0.0,0.8242448,1.0,0.015209125,0.0,1.0
89,9.695477,0.0,0.2675464,0.0,0.0,0.0,1.0
90,14.646378,0.0,0.0,0.0,0.0,0.0,1.0
91,17.04205,0.0,0.16957332,0.0,0.02631579,0.0,1.0
92,33.150494,0.0,0.68968904,1.0,0.0,0.0,1.0
93,13.214402,0.0,0.83010894,1.0,0.017857144,0.0,1.0
94,79.217384,1.0,0.34642333,1.0,0.0,1.0,1.0
95,82.00262,1.0,1.4697831,1.0,0.0038910506,1.0,1.0
96,13.73802,0.0,0.96477866,1.0,0.0056338026,0.0,1.0
97,14.856765,0.0,0.0,0.0,0.0,0.0,1.0
98,33.150494,0.0,0.42142266,1.0,0.0,0.0,1.0
99,9.858075,0.0,0.15990204,0.0,0.0,0.0,1.0
100,44.810574,1.0,0.40358934,1.0,0.016129032,1.0,1.0
101,49.689945,1.0,0.7003646,1.0,0.015384615,1.0,1.0
102,43.975357,1.0,0.0,0.0,0.0,0.0,1.0
103,15.418304,0.0,0.16957332,0.0,0.0,0.0,1.0
104,7.1790223,0.0,0.15741514,0.0,0.022727273,0.0,1.0
105,3.6855757,0.0,0.0,0.0,0.0,0.0,1.0
106,27.140795,0.0,0.8145287,1.0,0.0,0.0,1.0
107,23.394684,0.0,0.0,0.0,0.0,0.0,1.0
108,35.44218,0.0,0.867596,1.0,0.03846154,1.0,1.0
109,12.760585,0.0,0.0,0.0,0.0,0.0,1.0
110,32.163765,0.0,0.0,0.0,0.0,0.0,1.0
111,2.8873847,0.0,0.0,0.0,0.0,0.0,1.0
112,37.77474,1.0,0.0,0.0,0.0,0.0,1.0
113,82.00262,1.0,0.67082214,1.0,0.0067114094,1.0,1.0
114,49.689945,1.0,0.83882684,1.0,0.020942409,1.0,1.0
115,88.36655,1.0,0.7918077,1.0,0.0,1.0,1.0
116,37.262325,1.0,0.19957548,1.0,0.004347826,0.0,1.0
117,109.04596,1.0,0.0,1.0,0.0,1.0,1.0
118,80.56789,1.0,0.7702515,1.0,0.0,1.0,1.0
119,54.4551,1.0,0.36689293,1.0,0.0,1.0,1.0
120,34.999397,0.0,0.97774345,1.0,0.0,1.0,1.0
121,39.34954,1.0,0.0,0.0,0.0,0.0,1.0
122,46.803085,1.0,0.42118865,1.0,0.0,0.0,1.0
123,8.830955,0.0,0.0,0.0,0.0,0.0,1.0
124,19.876333,0.0,0.0,0.0,0.0,0.0,1.0
125,16.7348,0.0,0.9652214,1.0,0.0,0.0,1.0
126,17.693792,0.0,0.57166827,1.0,0.0,0.0,1.0
127,3.0327268,0.0,0.0,0.0,0.0,0.0,1.0
128,24.232513,0.0,0.17491607,0.0,0.03125,1.0,1.0
129,6.4419503,0.0,0.0,0.0,0.0,0.0,1.0
