,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,0.55811065,1.0,0.0,1.0,0.0,1.0,1.0
3,0.9102392,1.0,0.0,1.0,0.0,1.0,1.0
4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
5,7.029541,1.0,1.0332711,1.0,0.94470936,1.0,1.0
6,1.442695,1.0,0.0,1.0,0.0,1.0,1.0
7,20.935595,1.0,0.7862259,1.0,0.7298419,1.0,1.0
8,0.0,1.0,0.0,1.0,0.0,1.0,1.0
9,0.0,1.0,0.0,1.0,0.0,1.0,1.0
10,0.985859,1.0,0.0,1.0,0.0,1.0,1.0
11,2.4869614,1.0,1.2548473,1.0,1.157661,1.0,1.0
12,0.34597626,1.0,0.0,1.0,0.0,1.0,1.0
13,0.0,1.0,0.0,1.0,0.0,1.0,1.0
14,0.0,1.0,0.0,1.0,0.0,1.0,1.0
15,1.9862882,1.0,1.6097184,1.0,1.4770775,1.0,1.0
16,0.0,1.0,0.0,1.0,0.0,1.0,1.0
17,4.381827,1.0,1.2940618,1.0,1.1760564,1.0,1.0
18,0.0,1.0,0.0,1.0,0.0,1.0,1.0
19,1.2857069,1.0,1.2009101,1.0,1.1060225,1.0,1.0
20,0.0,1.0,0.0,1.0,0.0,1.0,1.0
21,2.145156,1.0,1.6264353,1.0,1.4968117,1.0,1.0
22,1.845271,1.0,0.0,1.0,0.0,1.0,1.0
23,0.0,1.0,0.0,1.0,0.0,1.0,1.0
24,2.6971383,1.0,1.9235934,1.0,1.8204784,1.0,1.0
25,3.1256187,1.0,1.3352329,1.0,1.2136523,1.0,1.0
26,1.9931974,1.0,0.0,1.0,0.0,1.0,1.0
27,1.442695,1.0,0.0,1.0,0.0,1.0,1.0
28,0.77672,1.0,0.0,1.0,0.0,1.0,1.0
29,0.9102392,1.0,0.0,1.0,0.0,1.0,1.0
30,0.0,1.0,0.0,1.0,0.0,1.0,1.0
31,0.0,1.0,0.0,1.0,0.0,1.0,1.0
32,0.0,1.0,0.0,1.0,0.0,1.0,1.0
33,2.790553,1.0,1.737178,1.0,1.6097184,1.0,1.0
34,1.1464165,1.0,2.88539,1.0,0.0,1.0,1.0
35,0.4342945,1.0,0.0,1.0,0.0,1.0,1.0
36,0.0,1.0,0.0,1.0,0.0,1.0,1.0
37,2.0164585,1.0,1.6097184,1.0,1.4770775,1.0,1.0
38,2.5093272,1.0,1.9235934,1.0,1.8204784,1.0,1.0
39,0.0,1.0,0.0,1.0,0.0,1.0,1.0
40,4.1470213,1.0,1.2004066,1.0,1.0918337,1.0,1.0
41,13.490357,1.0,0.8724162,1.0,0.8048592,1.0,1.0
42,3.1338632,1.0,1.2940618,1.0,1.1760564,1.0,1.0
43,0.0,1.0,0.0,1.0,0.0,1.0,1.0
44,3.6038136,1.0,1.383905,1.0,1.258632,1.0,1.0
45,13.685905,1.0,0.861254,1.0,0.7951594,1.0,1.0
46,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,2.2070782,1.0,0.0,1.0,0.0,1.0,0.0
48,4.9548926,1.0,0.0,1.0,0.0,1.0,0.0
49,2.5083966,1.0,1.737178,1.0,1.6097184,1.0,0.0
50,0.73090446,1.0,0.0,1.0,0.0,1.0,0.0
