,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,10.149288,1.0,0.0,1.0,0.0,1.0,1.0
1,6.686476,1.0,0.64425224,1.0,0.0,1.0,1.0
2,16.504534,1.0,0.87811416,1.0,41.578224,1.0,1.0
3,10.3139515,1.0,0.93451643,1.0,1.7411011,1.0,1.0
4,11.221368,1.0,1.0069183,1.0,19.190289,1.0,1.0
5,2.3356147,1.0,0.0,1.0,0.0,1.0,1.0
6,8.2199955,1.0,1.4427787,1.0,2.5218546,1.0,1.0
7,8.420681,1.0,0.9835583,1.0,53.57164,1.0,1.0
8,16.095247,1.0,0.86687475,1.0,17.02917,1.0,1.0
9,17.723719,1.0,0.0,1.0,0.0,1.0,1.0
10,9.32192,1.0,1.048926,1.0,238.47157,1.0,1.0
11,9.05184,1.0,1.0174142,1.0,85.7805,1.0,1.0
12,7.660587,1.0,1.0310432,1.0,3.8902323,1.0,1.0
13,7.6245446,1.0,0.0,1.0,0.0,1.0,1.0
14,12.884843,1.0,0.9525654,1.0,35.548775,1.0,1.0
15,11.051416,1.0,0.9216452,1.0,51.76399,1.0,1.0
16,17.2219,1.0,0.8315155,1.0,2.4258049,1.0,1.0
17,6.5796304,1.0,1.199835,1.0,0.0,1.0,1.0
18,4.4273977,1.0,1.1868325,1.0,5.785155,1.0,1.0
19,11.246012,1.0,0.91324747,1.0,20.724857,1.0,1.0
20,13.5102625,1.0,0.43580958,1.0,0.0,1.0,1.0
21,19.099201,1.0,0.83460253,1.0,6.672859,1.0,1.0
22,21.71673,1.0,1.1127408,1.0,2.6051712,1.0,1.0
23,9.32192,1.0,0.9319774,1.0,82.96442,1.0,1.0
24,14.30686,1.0,0.4626808,1.0,0.0,1.0,1.0
25,27.397446,1.0,0.0,1.0,0.0,1.0,1.0
26,7.2768536,1.0,1.3593093,1.0,141.03409,1.0,1.0
27,12.4766035,1.0,1.0319573,1.0,0.0,1.0,1.0
28,10.670478,1.0,0.5310086,1.0,0.0,1.0,1.0
29,11.938599,1.0,0.0,1.0,0.0,1.0,1.0
30,8.388183,1.0,1.0278205,1.0,2.8619382,1.0,1.0
31,15.598768,1.0,0.9525083,1.0,293.39282,1.0,1.0
32,14.024899,1.0,0.9361355,1.0,5.092215,1.0,1.0
33,16.56433,1.0,0.96448785,1.0,242.09288,1.0,1.0
34,11.04641,1.0,0.92445505,1.0,1.6437519,1.0,1.0
35,17.315723,1.0,0.8572558,1.0,14.844081,1.0,1.0
36,13.832837,1.0,0.9157556,1.0,165.87532,1.0,1.0
37,5.1140504,1.0,1.6097184,1.0,7.9868712,1.0,1.0
38,15.616995,1.0,1.0578701,1.0,0.0,1.0,1.0
39,23.983393,1.0,1.0589013,1.0,3.948701,1.0,1.0
40,6.0162497,1.0,0.0,1.0,0.0,1.0,1.0
41,20.290829,1.0,0.0,1.0,0.0,1.0,1.0
42,18.053352,1.0,0.9192084,1.0,23.61693,1.0,1.0
43,17.2219,1.0,0.8148737,1.0,13.148108,1.0,1.0
44,8.366732,1.0,1.2489309,1.0,2.930156,1.0,1.0
45,17.064054,1.0,0.84036547,1.0,46.951626,1.0,1.0
46,4.244729,1.0,0.5708027,1.0,0.0,1.0,1.0
47,9.718464,1.0,0.97454745,1.0,37.609142,1.0,1.0
48,14.099655,1.0,1.0058539,1.0,0.0,1.0,1.0
