,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,57.98829,1.0,0.0,1.0,0.0,1.0,1.0
1,163.90057,1.0,0.0,1.0,0.0,1.0,1.0
2,68.97487,1.0,0.8688949,1.0,0.0,1.0,1.0
3,9.453767,1.0,0.0,1.0,0.0,1.0,1.0
4,6.9717727,1.0,0.0,1.0,0.0,1.0,1.0
5,8.008873,1.0,0.0,1.0,0.0,1.0,1.0
6,118.61449,1.0,0.17280418,1.0,0.0,1.0,1.0
7,0.55434835,1.0,0.0,1.0,0.0,1.0,1.0
8,126.51582,1.0,0.0,1.0,0.0,1.0,1.0
9,38.347973,1.0,0.94603,1.0,0.03125,1.0,1.0
10,36.889435,1.0,1.0431724,1.0,0.03448276,1.0,1.0
11,111.154945,1.0,0.1627555,1.0,0.0,1.0,1.0
12,7.677167,1.0,0.0,1.0,0.0,1.0,1.0
13,233.91751,1.0,0.15005082,1.0,0.0,1.0,1.0
14,47.42604,1.0,0.0,1.0,0.0,1.0,1.0
15,65.337204,1.0,0.0,1.0,0.0,1.0,1.0
16,5.6140723,1.0,1.3136793,1.0,0.0,1.0,1.0
17,89.06967,1.0,0.80699164,1.0,0.0,1.0,1.0
18,24.768566,1.0,0.0,1.0,0.0,1.0,1.0
19,43.39344,1.0,0.0,1.0,0.0,1.0,1.0
20,33.124283,1.0,0.82289374,1.0,0.014705882,1.0,1.0
21,21.532923,1.0,0.0,1.0,0.0,1.0,1.0
22,10.695546,1.0,0.0,1.0,0.0,1.0,1.0
23,65.672165,1.0,0.45027325,1.0,0.005988024,1.0,1.0
24,13.735378,1.0,0.0,1.0,0.0,1.0,1.0
25,13.2343,1.0,1.9362228,1.0,0.0,1.0,1.0
26,63.15958,1.0,0.0,1.0,0.0,1.0,1.0
27,16.245466,1.0,0.15154938,1.0,0.02631579,1.0,1.0
28,17.936522,1.0,0.5459926,1.0,0.0,1.0,1.0
29,15.290342,1.0,0.0,1.0,0.0,1.0,1.0
30,2.7010021,1.0,0.0,1.0,0.0,1.0,1.0
31,3.63052,1.0,0.0,1.0,0.0,1.0,1.0
32,233.91751,1.0,0.6781376,1.0,0.0,1.0,1.0
33,23.772238,1.0,0.0,1.0,0.0,1.0,1.0
34,38.061394,1.0,0.0,1.0,0.0,1.0,1.0
35,12.571269,1.0,0.846008,1.0,0.0,1.0,1.0
