,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,20.569948,1.0,0.9145908,1.0,0.0,1.0,1.0
1,1.3207079,1.0,0.0,1.0,0.0,1.0,1.0
2,47.961014,1.0,0.80078775,1.0,0.0,1.0,1.0
3,17.688465,1.0,0.16009973,1.0,0.024390243,1.0,1.0
4,62.585644,1.0,0.79262924,1.0,0.0,1.0,1.0
5,38.182873,1.0,0.7589932,1.0,0.005,1.0,1.0
6,62.716587,1.0,0.7636155,1.0,0.03846154,1.0,1.0
7,95.20779,1.0,0.6913571,1.0,0.011428571,1.0,1.0
8,6.8011317,1.0,0.0,1.0,0.0,1.0,1.0
9,54.60869,1.0,0.83492184,1.0,0.0,1.0,1.0
10,11.896029,1.0,0.0,1.0,0.0,1.0,1.0
11,76.328865,1.0,0.3218288,1.0,0.007142857,1.0,1.0
12,104.12873,1.0,0.6951705,1.0,0.0,1.0,1.0
13,9.26284,1.0,0.0,1.0,0.0,1.0,1.0
14,23.812756,1.0,0.7558059,1.0,0.0,1.0,1.0
15,56.903046,1.0,0.7938788,1.0,0.015384615,1.0,1.0
16,13.888358,1.0,0.946968,1.0,0.0,1.0,1.0
17,9.163141,1.0,0.0,1.0,0.0,1.0,1.0
18,98.74726,1.0,0.1873523,1.0,0.0,1.0,1.0
19,42.50111,1.0,0.7052861,1.0,0.02,1.0,1.0
20,71.71165,1.0,0.7056052,1.0,0.008196721,1.0,1.0
21,11.591912,1.0,1.0400963,1.0,0.00921659,1.0,1.0
22,12.692453,1.0,1.0748707,1.0,0.0,1.0,1.0
23,31.523771,1.0,0.17412493,1.0,0.011627907,1.0,1.0
24,21.444008,1.0,0.47121495,1.0,0.0,1.0,1.0
25,88.7992,1.0,0.0,1.0,0.0,1.0,1.0
26,19.356833,1.0,0.19655648,1.0,0.0,1.0,1.0
27,45.789703,1.0,0.83379775,1.0,0.0,1.0,1.0
28,75.02968,1.0,0.4035403,1.0,0.0,1.0,1.0
29,6.7811427,1.0,0.0,1.0,0.0,1.0,1.0
30,25.881922,1.0,0.0,1.0,0.0,1.0,1.0
31,36.877083,1.0,0.8955498,1.0,0.006153846,1.0,1.0
32,30.60087,1.0,0.4488813,1.0,0.0,1.0,1.0
33,21.739466,1.0,0.99371165,1.0,0.02631579,1.0,1.0
34,41.494026,1.0,0.3795441,1.0,0.017857144,1.0,1.0
35,62.716587,1.0,0.8093027,1.0,0.03846154,1.0,1.0
36,82.49885,1.0,0.9351451,1.0,0.0,1.0,1.0
37,34.91908,1.0,0.7497323,1.0,0.022727273,1.0,1.0
38,32.460266,1.0,0.8380057,1.0,0.0,1.0,1.0
39,34.503757,1.0,0.4062451,1.0,0.0,1.0,1.0
40,26.334478,1.0,0.92437774,1.0,0.0,1.0,1.0
41,88.7992,1.0,0.6853289,1.0,0.02739726,1.0,1.0
42,28.46799,1.0,0.93177384,1.0,0.03846154,1.0,1.0
43,24.313614,1.0,0.2067704,1.0,0.0,1.0,1.0
44,69.46806,1.0,0.86606646,1.0,0.0,1.0,1.0
45,51.772976,1.0,0.16834532,1.0,0.0,1.0,1.0
46,15.621504,1.0,0.22953106,1.0,0.0,1.0,1.0
47,28.186878,1.0,0.4693895,1.0,0.0,1.0,1.0
48,87.79224,1.0,0.70789605,1.0,0.02739726,1.0,1.0
49,78.734764,1.0,0.3673303,1.0,0.0,1.0,1.0
50,20.70524,1.0,0.0,1.0,0.0,1.0,1.0
51,25.51283,1.0,0.95474774,1.0,0.0125,1.0,1.0
52,9.643283,1.0,0.0,1.0,0.0,1.0,1.0
53,65.61589,1.0,0.82222486,1.0,0.06779661,1.0,1.0
54,78.734764,1.0,0.6968865,1.0,0.019704433,1.0,1.0
55,5.3738475,1.0,0.0,1.0,0.0,1.0,1.0
56,39.0475,1.0,0.2749076,1.0,0.0,1.0,1.0
57,7.69579,1.0,0.0,1.0,0.0,1.0,1.0
58,17.523586,1.0,0.0,1.0,0.0,1.0,1.0
59,112.69522,1.0,0.37600166,1.0,0.0,1.0,1.0
60,14.629072,1.0,0.0,1.0,0.0,1.0,1.0
61,59.878178,1.0,0.0,1.0,0.0,1.0,1.0
62,9.694503,1.0,0.0,1.0,0.0,1.0,1.0
63,81.05876,1.0,0.6662663,1.0,0.018604651,1.0,1.0
64,17.306145,1.0,0.0,1.0,0.0,1.0,1.0
65,16.21348,1.0,0.0,1.0,0.0,1.0,1.0
66,115.84989,1.0,0.77694386,1.0,0.01438849,1.0,1.0
