,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,10.138831,0.0,0.0,0.0,0.6,1.0,1.0
1,6.6859365,0.0,0.64425224,0.0,0.2,0.0,1.0
2,1.6270477,0.0,0.0,0.0,0.8,1.0,1.0
3,10.310467,0.0,0.93451643,0.0,2.2,0.0,1.0
4,2.3363056,0.0,0.0,0.0,0.4,1.0,1.0
5,11.002994,0.0,0.95734185,1.0,80.2,1.0,1.0
6,8.412536,0.0,0.9802959,0.0,55.6,1.0,1.0
7,16.100527,0.0,0.86825144,1.0,17.4,1.0,1.0
8,17.530853,0.0,0.0,0.0,0.0,0.0,1.0
9,9.049597,0.0,1.0174142,0.0,85.8,1.0,1.0
10,18.451044,0.0,1.1278917,1.0,4.4,0.0,1.0
11,4.8559647,0.0,1.1868325,0.0,7.4,0.0,1.0
12,13.504216,0.0,0.43580958,0.0,8.8,0.0,1.0
13,18.886501,0.0,0.83460253,1.0,14.2,0.0,1.0
14,21.718498,0.0,1.1127408,1.0,2.8,0.0,1.0
15,15.629733,0.0,0.90760696,1.0,19.0,0.0,1.0
16,12.258356,0.0,0.9112094,1.0,77.8,1.0,1.0
17,14.49979,0.0,0.4626808,0.0,0.6,1.0,1.0
18,27.309755,1.0,0.0,0.0,0.8,0.0,1.0
19,7.0646186,0.0,1.3593093,1.0,148.0,1.0,1.0
20,19.830437,0.0,0.0,0.0,0.6,1.0,1.0
21,8.137837,0.0,0.91499954,0.0,196.6,1.0,1.0
22,2.7700982,0.0,0.24044918,0.0,2.0,0.0,1.0
23,15.421893,0.0,0.9525083,1.0,293.8,1.0,1.0
24,13.863311,0.0,0.93699396,1.0,41.4,1.0,1.0
25,4.3918595,0.0,1.2240818,0.0,41.2,1.0,1.0
26,18.438662,0.0,0.88459474,1.0,13.8,0.0,1.0
27,28.455212,1.0,0.0,0.0,0.2,1.0,1.0
28,13.149751,0.0,0.0,0.0,1.0,0.0,1.0
29,13.831204,0.0,0.9157556,1.0,166.2,1.0,1.0
30,15.641745,0.0,1.0432186,1.0,1.0,0.0,1.0
31,10.8557005,0.0,0.99490744,1.0,22.0,0.0,1.0
32,20.532637,0.0,0.0,0.0,0.0,0.0,1.0
33,18.052584,0.0,0.9192084,1.0,23.8,0.0,1.0
34,26.789093,1.0,0.79451287,1.0,37.4,1.0,1.0
35,8.362737,0.0,1.2458628,1.0,26.2,0.0,1.0
36,17.063452,0.0,0.84036547,1.0,48.6,1.0,1.0
37,9.719733,0.0,0.97454745,0.0,44.2,1.0,1.0
38,17.904549,0.0,0.48089835,0.0,0.0,0.0,1.0
39,13.885984,0.0,1.0058539,1.0,4.2,0.0,1.0
40,35.002872,1.0,0.5505042,1.0,3.8,0.0,1.0
41,25.687376,1.0,0.81825095,1.0,3.8,0.0,1.0
42,12.690809,0.0,0.9474448,1.0,1.4,1.0,1.0
43,29.377237,1.0,0.8808915,1.0,4.4,1.0,1.0
44,21.57789,0.0,0.9598211,1.0,5.0,0.0,1.0
45,8.191883,0.0,0.9592336,0.0,8.4,0.0,1.0
46,3.4603453,0.0,1.4791939,1.0,155.8,1.0,1.0
47,11.691704,0.0,0.8533458,0.0,19.2,1.0,1.0
48,16.187363,0.0,0.40137044,0.0,3.0,1.0,1.0
