,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,2.790553,0.0,1.737178,0.0,6.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1.9344459,0.0,1.737178,0.0,15.6955385,0.0,1.0
5,7.0202227,0.0,1.0332711,0.0,64.0,0.0,1.0
6,2.0056083,0.0,1.737178,0.0,1.0,0.0,1.0
7,1.442695,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1.4587487,0.0,1.7102414,0.0,1.0,0.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,12.214546,0.0,0.7964786,0.0,2432.0032,1.0,1.0
14,4.3663917,0.0,1.2940618,0.0,143.0,0.0,1.0
15,8.846652,0.0,0.92935395,0.0,35.0,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,2.145156,0.0,1.6264353,0.0,2.4736843,0.0,1.0
20,1.6938863,0.0,0.0,0.0,0.0,0.0,1.0
21,1.1820198,0.0,2.2324426,0.0,345.0,0.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,2.6769161,0.0,1.9235934,0.0,129.0,1.0,1.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,1.2972257,0.0,0.0,0.0,0.0,0.0,1.0
26,2.048566,0.0,1.6097184,0.0,61.0,0.0,1.0
27,0.9102392,0.0,0.0,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,2.790553,0.0,1.737178,0.0,6.0,0.0,1.0
30,1.1464165,0.0,2.88539,0.0,30.0,0.0,1.0
31,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,7.7160344,0.0,0.0,0.0,0.0,0.0,1.0
34,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,21.587984,0.0,0.9334073,0.0,2.8413794,0.0,1.0
36,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,2.0025504,0.0,1.6097184,0.0,61.0,0.0,1.0
38,6.75076,0.0,1.134314,0.0,19.77551,0.0,1.0
39,3.133402,0.0,1.2940618,0.0,1.0,0.0,1.0
40,4.1457424,0.0,1.2004066,0.0,10.0,0.0,1.0
41,3.133402,0.0,1.2940618,0.0,1.0,0.0,1.0
42,0.0,0.0,0.0,0.0,0.0,1.0,1.0
43,1.6121536,0.0,0.0,0.0,0.0,0.0,1.0
44,1.2856097,0.0,0.0,0.0,0.0,1.0,1.0
45,3.620526,0.0,1.383905,0.0,3.0,0.0,1.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2.6490467,0.0,1.2940618,0.0,2.3529413,0.0,0.0
48,10.823686,0.0,0.0,0.0,30.0,0.0,0.0
49,2.8932645,0.0,0.0,0.0,0.0,0.0,0.0
