,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.262278,1.0,1.2161562,1.0,1.4634147,1.0,1.0
1,8.749132,1.0,0.24627854,1.0,4.7916665,1.0,1.0
2,4.804792,1.0,0.66760147,1.0,0.0,1.0,1.0
3,5.275383,1.0,1.1578307,1.0,3.8181818,1.0,1.0
4,3.239415,1.0,1.2802277,1.0,10.0,1.0,1.0
5,3.2698255,1.0,1.4900383,1.0,1.5789474,1.0,1.0
6,3.8481815,1.0,1.3691517,1.0,2.142857,1.0,1.0
7,7.1047187,1.0,1.0267678,1.0,4.3835616,1.0,1.0
8,4.3501024,1.0,1.2411467,1.0,5.2333803,1.0,1.0
9,11.714988,1.0,0.97990113,1.0,20.840345,1.0,1.0
10,8.749132,1.0,0.98649853,1.0,30.22366,1.0,1.0
11,4.3358655,1.0,1.2295192,1.0,2.3076923,1.0,1.0
12,4.14586,1.0,1.5482221,1.0,1.25,1.0,1.0
13,4.6516633,1.0,1.5559124,1.0,9.487691,1.0,1.0
14,6.044744,1.0,1.2740283,1.0,2.5,1.0,1.0
15,4.1737313,1.0,0.0,1.0,15.0,1.0,1.0
16,7.4036922,1.0,1.9681417,1.0,3.75,0.0,1.0
17,4.8424997,1.0,0.6529039,1.0,2.4,1.0,1.0
18,5.0380864,1.0,1.5433741,1.0,1.5,1.0,1.0
19,11.714988,1.0,0.97150964,1.0,25.136017,1.0,1.0
20,8.962565,1.0,1.014752,1.0,27.321249,1.0,1.0
21,12.561486,1.0,0.98360014,1.0,2.5,1.0,1.0
22,5.3733,1.0,0.62361705,1.0,5.0,1.0,1.0
23,8.749132,1.0,0.98649853,1.0,26.729277,1.0,1.0
24,4.7879853,1.0,1.235441,1.0,1.3636364,1.0,1.0
25,4.0398183,1.0,0.0,1.0,10.0,0.0,1.0
26,11.714988,1.0,1.0113723,1.0,9.047619,1.0,1.0
27,6.294168,1.0,0.5114026,1.0,5.0,1.0,1.0
28,8.968923,1.0,0.991341,1.0,33.55654,1.0,1.0
29,3.767178,1.0,1.237988,1.0,9.4644165,1.0,1.0
30,2.9080937,1.0,1.4661216,1.0,1.1111112,1.0,1.0
31,8.968923,1.0,0.9814487,1.0,30.391066,1.0,0.0
32,1.0263109,1.0,0.0,1.0,0.0,0.0,0.0
33,2.645873,1.0,0.0,1.0,0.0,0.0,0.0
34,8.023144,1.0,0.0,0.0,0.0,1.0,0.0
35,3.9282281,1.0,0.26425737,1.0,5.0,0.0,0.0
36,9.706218,1.0,1.1068237,1.0,2.5,0.0,0.0
37,2.5149884,1.0,0.0,1.0,0.0,0.0,0.0
38,7.021182,1.0,0.2506904,1.0,0.0,0.0,0.0
39,2.143495,1.0,0.0,1.0,0.0,1.0,0.0
40,2.8699846,1.0,0.0,1.0,5.0,1.0,0.0
41,4.11938,1.0,0.0,1.0,0.0,1.0,0.0
42,5.4699326,1.0,0.0,1.0,0.0,0.0,0.0
43,5.4176536,1.0,0.25308487,1.0,0.0,0.0,
