,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,10.142984,1.0,0.0,0.0,0.0,1.0,1.0
1,0.36757037,0.0,0.0,0.0,0.0,0.0,1.0
2,6.6827497,1.0,0.64425224,1.0,0.0,1.0,1.0
3,10.3078575,1.0,0.93451643,1.0,0.03125,1.0,1.0
4,11.209343,1.0,0.9588303,1.0,0.023952097,1.0,1.0
5,8.411332,1.0,0.98141134,1.0,0.04494382,1.0,1.0
6,15.780073,1.0,0.94700325,1.0,0.018099548,1.0,1.0
7,8.940632,1.0,1.0901871,1.0,0.022727273,1.0,1.0
8,16.103348,1.0,0.86759496,1.0,0.017857144,1.0,1.0
9,9.046032,1.0,1.0174142,1.0,0.027972028,1.0,1.0
10,12.881136,1.0,0.9525654,1.0,0.021978023,1.0,1.0
11,18.450607,1.0,1.1513054,1.0,0.040816326,1.0,1.0
12,11.246994,1.0,0.91324747,1.0,0.023952097,1.0,1.0
13,13.504426,1.0,0.43497583,1.0,0.0,1.0,1.0
14,8.08127,1.0,1.0418855,1.0,0.0,1.0,1.0
15,19.100119,1.0,0.83460253,1.0,0.019704433,1.0,1.0
16,15.62564,1.0,0.9043013,1.0,0.020304568,1.0,1.0
17,28.922012,1.0,0.9452862,1.0,0.054054055,1.0,1.0
18,27.864454,1.0,0.0,1.0,0.0,1.0,1.0
19,17.554,1.0,1.2783047,1.0,0.03539823,1.0,1.0
20,8.136492,1.0,0.91499954,1.0,0.030534351,1.0,1.0
21,12.118457,1.0,1.6047,1.0,0.0,1.0,1.0
22,3.7756996,0.0,1.1931994,1.0,0.06779661,1.0,1.0
23,14.078182,1.0,0.93662506,1.0,0.022346368,1.0,1.0
24,16.460472,1.0,0.8214941,1.0,0.018604651,1.0,1.0
25,28.444803,1.0,0.0,1.0,0.0,1.0,1.0
26,13.148117,1.0,0.0,0.0,0.0,1.0,1.0
27,13.810166,1.0,0.9157556,1.0,0.016949153,1.0,1.0
28,15.622524,1.0,1.0578701,1.0,0.011235955,1.0,1.0
29,10.8098755,1.0,0.99490744,1.0,0.030534351,1.0,1.0
30,17.408407,1.0,0.8157074,1.0,0.01632653,1.0,1.0
31,17.056795,1.0,0.84036547,1.0,0.012738854,1.0,1.0
32,17.69426,1.0,0.47913232,1.0,0.0,1.0,1.0
33,35.22152,1.0,0.5505042,1.0,0.03125,1.0,1.0
34,15.780073,1.0,0.8505711,1.0,0.020618556,1.0,1.0
35,25.868002,1.0,0.81844515,1.0,0.0,1.0,1.0
36,12.692588,1.0,0.95044786,1.0,0.0,1.0,1.0
37,28.925608,1.0,0.8861008,1.0,0.0,1.0,1.0
38,8.189382,1.0,0.9592336,1.0,0.024844721,1.0,1.0
39,3.4597158,0.0,1.4791939,1.0,0.125,1.0,1.0
40,21.631279,1.0,0.78344226,1.0,0.03846154,1.0,1.0
41,7.9660244,1.0,1.0201098,1.0,0.114285715,1.0,1.0
42,17.429144,1.0,1.250538,1.0,0.114285715,1.0,1.0
43,11.454463,1.0,0.8557945,1.0,0.020618556,1.0,1.0
44,15.997158,1.0,0.40137044,1.0,0.0125,1.0,1.0
45,24.171373,1.0,0.9508021,1.0,0.02739726,1.0,1.0
46,1.4580454,0.0,1.7053131,1.0,0.03846154,1.0,1.0
47,14.486898,1.0,0.9399155,1.0,0.022346368,1.0,1.0
48,24.886475,1.0,0.19608356,1.0,0.0,1.0,1.0
49,6.6312447,1.0,1.0174142,1.0,0.028571429,1.0,1.0
50,6.065696,1.0,1.0492824,1.0,0.032786883,1.0,1.0
51,9.143505,1.0,0.96403635,1.0,0.037383176,1.0,1.0
52,14.124097,1.0,1.1229129,1.0,0.13793103,1.0,1.0
53,30.89685,1.0,0.7199995,1.0,0.008403362,1.0,1.0
54,1.8311838,0.0,0.0,0.0,0.0,1.0,1.0
55,3.1045377,0.0,1.2494367,1.0,0.056338027,1.0,1.0
56,1.608379,0.0,0.0,0.0,0.0,0.0,1.0
57,9.537082,1.0,1.0439644,1.0,0.020618556,1.0,1.0
58,32.359394,1.0,0.7841595,1.0,0.017167382,1.0,1.0
59,10.273297,1.0,1.0075431,1.0,0.036363635,1.0,1.0
60,9.825703,1.0,0.99068105,1.0,0.0754717,1.0,1.0
61,11.48402,1.0,0.2484255,1.0,0.0,1.0,1.0
62,13.180521,1.0,1.2509533,1.0,0.051948052,1.0,1.0
63,2.325614,0.0,1.8769895,1.0,0.2857143,1.0,1.0
64,18.69585,1.0,0.9364249,1.0,0.0,1.0,1.0
65,3.9357896,1.0,0.0,0.0,0.0,0.0,1.0
66,28.536053,1.0,0.22449978,1.0,0.0045871558,1.0,1.0
67,28.925608,1.0,0.8221303,1.0,0.033613447,1.0,1.0
68,13.46953,1.0,0.9106382,1.0,0.028571429,1.0,1.0
69,15.825289,1.0,0.9238004,1.0,0.006451613,1.0,1.0
70,5.9715495,1.0,1.4837915,1.0,0.13793103,1.0,1.0
71,7.932774,1.0,1.460285,1.0,0.125,1.0,1.0
72,18.526506,1.0,0.8227983,1.0,0.013245033,1.0,1.0
73,14.124097,1.0,1.1062075,1.0,0.023952097,1.0,1.0
74,10.063927,1.0,0.0,0.0,0.0,1.0,1.0
75,23.17628,1.0,0.860374,1.0,0.015037594,1.0,1.0
76,7.5689535,1.0,1.1436845,1.0,0.0,1.0,1.0
77,19.07771,1.0,0.22449978,1.0,0.0,1.0,1.0
78,15.57865,1.0,0.97329533,1.0,0.020304568,1.0,1.0
79,5.2625685,1.0,0.2269262,0.0,0.0,1.0,1.0
80,8.742528,1.0,1.058726,1.0,0.04347826,1.0,1.0
81,3.6105573,0.0,1.2193218,1.0,0.08,1.0,1.0
82,8.1382475,1.0,0.25308487,1.0,0.0,1.0,1.0
83,13.512009,1.0,0.51448625,1.0,0.0,1.0,1.0
84,9.32308,1.0,1.0010134,1.0,0.05882353,1.0,1.0
85,9.282891,1.0,0.9720891,1.0,0.0,1.0,1.0
86,9.384086,1.0,1.00205,1.0,0.0,1.0,1.0
87,4.9182715,1.0,1.0916245,1.0,0.025316456,1.0,1.0
88,15.128565,1.0,1.0769731,1.0,0.15384616,1.0,1.0
89,17.845533,1.0,0.9681399,1.0,0.004854369,1.0,1.0
90,25.767727,1.0,0.41777247,1.0,0.00729927,1.0,1.0
91,5.647802,1.0,1.0464315,1.0,0.06153846,1.0,1.0
92,4.0610023,1.0,1.4126179,1.0,0.23529412,1.0,1.0
