,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,152.07741,1.0,0.0,1.0,0.0,1.0,1.0
1,32.751507,0.0,0.4506434,0.0,0.0,0.0,1.0
2,64.80754,0.0,0.7483222,1.0,0.0,1.0,1.0
3,90.89342,1.0,0.62529486,1.0,0.0,1.0,1.0
4,41.784805,0.0,0.7342278,1.0,0.0,1.0,1.0
5,45.597404,0.0,0.0,0.0,0.0,0.0,1.0
6,150.91954,1.0,0.5999176,1.0,0.37091658,1.0,1.0
7,89.18514,1.0,0.31086567,1.0,0.0,1.0,1.0
8,137.85323,1.0,0.6666849,1.0,0.0,1.0,1.0
9,10.601199,0.0,0.14987935,0.0,0.0,0.0,1.0
10,75.0805,0.0,0.656641,1.0,0.7732794,1.0,1.0
11,69.38888,0.0,0.34186554,1.0,0.0,1.0,1.0
12,83.4041,1.0,0.7283227,1.0,0.34150138,1.0,1.0
13,107.54407,1.0,0.7008874,1.0,0.79767525,1.0,1.0
14,55.295918,0.0,0.3837514,0.0,0.20207083,0.0,1.0
15,37.623413,0.0,0.7714563,1.0,0.0,1.0,1.0
16,36.905964,0.0,0.15767595,0.0,0.0,0.0,1.0
17,52.872444,0.0,0.0,0.0,0.0,0.0,1.0
18,64.83914,0.0,0.3439724,0.0,0.0,0.0,1.0
19,66.53146,0.0,0.35947227,1.0,0.19256851,1.0,1.0
20,66.493095,0.0,0.0,0.0,0.0,0.0,1.0
21,92.84767,1.0,0.6813241,1.0,0.33516857,1.0,1.0
22,73.3663,0.0,0.3631059,1.0,0.0,1.0,1.0
23,145.44495,1.0,0.6301224,1.0,0.41862893,1.0,1.0
24,110.763535,1.0,0.6572115,1.0,0.0,1.0,1.0
25,91.967186,1.0,0.6401301,1.0,0.17112902,1.0,1.0
26,126.65273,1.0,0.7409231,1.0,0.8075648,1.0,1.0
27,118.461464,1.0,0.610975,1.0,0.30872953,1.0,1.0
28,126.68111,1.0,0.33752215,1.0,0.0,1.0,1.0
29,16.766176,0.0,0.0,0.0,0.0,0.0,1.0
30,46.381744,0.0,0.0,0.0,0.0,0.0,1.0
31,65.17297,0.0,0.7325361,1.0,0.0,1.0,1.0
32,95.83857,1.0,0.6141164,1.0,0.0,1.0,1.0
33,87.91511,1.0,0.6354473,1.0,0.2506904,1.0,1.0
34,28.64649,0.0,0.0,0.0,0.0,0.0,1.0
35,68.15629,0.0,0.73003507,1.0,0.44871584,1.0,1.0
36,13.48994,0.0,0.91917294,1.0,0.95740175,1.0,1.0
37,71.17445,0.0,0.66638553,1.0,0.0,1.0,1.0
38,31.32799,0.0,0.70831966,1.0,0.69982016,1.0,1.0
39,101.0583,1.0,0.6228136,1.0,0.21762218,1.0,1.0
40,62.487804,0.0,0.0,0.0,0.0,0.0,1.0
41,102.994354,1.0,0.3234299,1.0,0.0,1.0,1.0
42,44.557888,0.0,0.0,0.0,0.0,0.0,1.0
43,54.2685,0.0,0.2484255,0.0,0.0,0.0,1.0
44,90.25983,1.0,0.7433898,1.0,0.86194324,1.0,1.0
45,33.040546,0.0,0.1486187,0.0,0.0,0.0,1.0
46,112.184395,1.0,0.60394007,1.0,0.6652967,1.0,1.0
47,33.85686,0.0,0.3457004,0.0,0.16635427,0.0,1.0
48,93.75805,1.0,0.73679006,1.0,0.7299133,1.0,1.0
49,54.109455,0.0,0.0,0.0,0.0,0.0,1.0
50,93.16079,1.0,0.0,0.0,0.0,0.0,1.0
51,24.017466,0.0,0.35449526,0.0,0.0,0.0,1.0
52,74.275154,0.0,0.69663113,1.0,0.7891642,1.0,1.0
53,33.653385,0.0,0.34834272,0.0,0.0,0.0,1.0
54,27.268116,0.0,0.14691128,0.0,0.0,0.0,1.0
55,119.783195,1.0,0.59402394,1.0,0.6422247,1.0,1.0
56,74.348526,0.0,0.0,0.0,0.0,0.0,1.0
57,120.37263,1.0,0.0,0.0,0.0,0.0,1.0
58,29.24001,0.0,0.17121406,0.0,0.0,0.0,1.0
59,14.314604,0.0,0.0,0.0,0.0,0.0,1.0
60,146.15083,1.0,0.30481896,1.0,0.0,1.0,1.0
61,40.423138,0.0,0.0,0.0,0.0,0.0,1.0
62,96.89829,1.0,0.8583294,1.0,0.8447438,1.0,1.0
63,69.65435,0.0,0.32234478,1.0,0.21357796,1.0,1.0
64,94.61031,1.0,0.3227189,1.0,0.0,1.0,1.0
65,127.41735,1.0,0.61744446,1.0,0.74682623,1.0,1.0
66,108.96195,1.0,0.6313496,1.0,0.7280751,1.0,1.0
67,177.14923,1.0,0.30456826,1.0,0.0,1.0,1.0
68,102.79197,1.0,0.63168156,1.0,0.0,1.0,1.0
69,69.957535,0.0,0.6848791,1.0,0.8216235,1.0,1.0
70,21.16713,0.0,0.730514,1.0,0.1533943,1.0,1.0
71,102.994354,1.0,0.6429379,1.0,0.35036364,1.0,1.0
72,8.614185,0.0,0.5253339,0.0,0.0,0.0,1.0
73,107.80092,1.0,0.7346151,1.0,0.0,1.0,1.0
74,44.1717,0.0,0.7269901,1.0,0.79427874,1.0,1.0
75,89.37959,1.0,0.3531203,1.0,0.0,1.0,1.0
76,97.62541,1.0,0.15075411,0.0,0.16459967,1.0,1.0
77,40.277695,0.0,0.76417065,1.0,0.7734812,1.0,1.0
78,75.7415,1.0,0.66778076,1.0,0.6907981,1.0,1.0
79,113.226746,1.0,0.15218654,1.0,0.0,1.0,1.0
80,85.86445,1.0,0.66758347,1.0,0.38106397,1.0,1.0
81,83.327995,1.0,0.332851,1.0,0.0,1.0,1.0
82,11.326906,0.0,0.0,0.0,0.0,0.0,1.0
83,70.049164,0.0,0.66163886,1.0,0.0,1.0,1.0
84,4.1943574,0.0,0.0,0.0,0.0,0.0,1.0
85,23.160748,0.0,0.0,0.0,0.0,0.0,1.0
86,69.957535,0.0,0.7319962,1.0,0.79482937,1.0,1.0
87,41.192673,0.0,0.7387441,1.0,0.41605327,1.0,1.0
88,122.68967,1.0,0.0,0.0,0.0,0.0,1.0
89,92.20378,1.0,0.70374125,1.0,0.16697386,1.0,1.0
90,109.42584,1.0,0.66947,1.0,0.0,1.0,1.0
91,96.89829,1.0,0.6785645,1.0,0.7840166,1.0,1.0
92,137.48427,1.0,0.59514636,1.0,0.0,1.0,1.0
93,47.783073,0.0,0.80045474,1.0,0.8762168,1.0,1.0
94,158.02948,1.0,0.6438053,1.0,0.8068083,1.0,1.0
95,47.936356,0.0,0.17658608,0.0,0.0,0.0,1.0
96,23.196415,0.0,0.17280418,0.0,0.0,0.0,1.0
97,20.772886,0.0,0.0,0.0,0.0,0.0,1.0
98,70.963295,0.0,0.6862941,1.0,0.39836535,1.0,1.0
99,57.16521,0.0,0.9409866,1.0,0.0,1.0,1.0
100,36.17039,0.0,0.0,0.0,0.0,0.0,1.0
101,77.83969,1.0,0.63213396,1.0,0.7185166,1.0,1.0
102,71.07613,0.0,0.36842275,1.0,0.0,1.0,1.0
103,50.644524,0.0,0.7450231,1.0,0.9251883,1.0,1.0
104,118.03811,1.0,0.71733564,1.0,0.71929026,1.0,1.0
105,35.371346,0.0,0.0,0.0,0.0,0.0,1.0
106,126.138855,1.0,0.6285741,1.0,0.16635427,1.0,1.0
107,89.512375,1.0,0.6339609,1.0,0.24423933,1.0,1.0
108,79.2562,1.0,0.6652435,1.0,0.35333166,1.0,1.0
109,71.97472,0.0,0.0,0.0,0.0,0.0,1.0
110,104.40231,1.0,0.65056556,1.0,0.7726822,1.0,1.0
111,121.592575,1.0,0.6540138,1.0,0.19256851,1.0,1.0
112,94.5441,1.0,0.70764697,1.0,0.0,1.0,1.0
113,37.03688,0.0,0.0,0.0,0.0,0.0,1.0
114,72.09604,0.0,0.6884074,1.0,0.0,1.0,1.0
115,119.34098,1.0,0.3530417,1.0,0.0,1.0,1.0
116,58.79639,0.0,0.0,0.0,0.0,0.0,1.0
117,10.343172,0.0,0.17637055,0.0,0.0,0.0,1.0
118,102.994354,1.0,0.15838954,1.0,0.0,1.0,1.0
119,77.73759,1.0,0.6880417,1.0,0.0,1.0,1.0
120,78.35231,1.0,0.64586335,1.0,0.16247328,1.0,1.0
121,95.177986,1.0,0.6429505,1.0,0.0,1.0,1.0
122,9.7482,0.0,0.0,0.0,0.0,0.0,1.0
123,37.403263,0.0,0.42410424,0.0,0.0,0.0,1.0
124,60.42906,0.0,0.686513,1.0,1.2740635,1.0,1.0
125,80.92119,1.0,0.7575322,1.0,0.7760762,1.0,1.0
126,29.201523,0.0,0.0,0.0,0.0,0.0,1.0
127,159.40683,1.0,0.15016606,1.0,0.18046425,1.0,1.0
128,44.18482,0.0,0.84937495,1.0,0.0,1.0,1.0
129,105.18038,1.0,0.6385421,1.0,0.735932,1.0,1.0
130,62.134357,0.0,0.66896844,1.0,0.34446084,1.0,1.0
131,47.98671,0.0,0.15970635,0.0,0.0,0.0,1.0
132,93.57787,1.0,0.6767117,1.0,0.40929398,1.0,1.0
133,123.620804,1.0,0.15698831,1.0,0.0,1.0,1.0
134,58.79639,0.0,0.77671957,1.0,0.82524127,1.0,1.0
135,20.335627,0.0,0.0,0.0,0.0,0.0,1.0
136,44.39145,0.0,0.763001,1.0,0.0,1.0,1.0
137,74.54952,0.0,0.6627598,1.0,0.9859564,1.0,1.0
138,31.252905,0.0,0.7211979,1.0,0.30341306,1.0,1.0
139,20.1877,0.0,0.99955803,1.0,0.2626973,1.0,1.0
140,104.008736,1.0,0.7918788,1.0,0.4872079,1.0,1.0
141,95.832115,1.0,0.6444369,1.0,0.7198382,1.0,1.0
142,137.48427,1.0,0.63360244,1.0,0.0,1.0,1.0
143,84.31815,1.0,0.0,0.0,0.0,0.0,1.0
144,47.98671,0.0,0.6771897,1.0,0.71935874,1.0,1.0
145,146.15083,1.0,0.6326201,1.0,0.0,1.0,1.0
146,112.65672,1.0,0.6593272,1.0,0.32800323,1.0,1.0
147,58.92793,0.0,0.72179973,1.0,0.7256698,1.0,1.0
148,152.07741,1.0,0.6500234,1.0,0.7136714,1.0,1.0
149,113.595985,1.0,0.16241732,1.0,0.0,1.0,1.0
150,67.90623,0.0,0.6402328,1.0,0.91010255,1.0,1.0
151,38.77748,0.0,0.41743192,0.0,0.0,0.0,1.0
152,144.35516,1.0,0.16516806,1.0,0.0,1.0,1.0
153,35.977207,0.0,0.7744289,1.0,0.8169687,1.0,1.0
154,113.806694,1.0,0.6281706,1.0,0.35479307,1.0,1.0
155,4.093916,0.0,0.0,0.0,0.0,0.0,1.0
156,92.35651,1.0,0.62631446,1.0,0.6251482,1.0,1.0
157,118.461464,1.0,0.70499396,1.0,0.1549139,1.0,1.0
158,95.78828,1.0,0.36439708,1.0,0.0,1.0,1.0
159,108.53148,1.0,0.6399083,1.0,0.37294656,1.0,1.0
160,80.763565,1.0,0.6542996,1.0,0.86487085,1.0,1.0
161,137.99422,1.0,0.6030126,1.0,0.7222148,1.0,1.0
162,23.373213,0.0,0.15446661,0.0,0.0,0.0,1.0
163,91.745094,1.0,0.64434683,1.0,0.7969899,1.0,1.0
164,111.04405,1.0,0.6767108,1.0,0.2675464,1.0,1.0
165,36.22951,0.0,0.7814023,1.0,0.18204784,1.0,1.0
166,86.834206,1.0,0.71439713,1.0,0.78768134,1.0,1.0
167,62.178383,0.0,0.32988185,0.0,0.18374187,0.0,1.0
168,118.6985,1.0,0.65134233,1.0,0.7458567,1.0,1.0
169,162.38058,1.0,0.16286951,1.0,0.0,1.0,1.0
170,34.522423,0.0,0.15884952,0.0,0.0,0.0,1.0
171,86.19964,1.0,0.30951354,1.0,0.0,1.0,1.0
172,64.83647,0.0,0.68029255,1.0,0.0,1.0,1.0
173,70.43661,0.0,0.6858686,1.0,0.72981584,1.0,1.0
174,36.620445,0.0,0.17208324,0.0,0.0,0.0,1.0
175,90.19905,1.0,0.6719592,1.0,0.19957548,1.0,1.0
176,83.06356,1.0,0.6646138,1.0,0.40041864,1.0,1.0
177,7.8404527,0.0,0.80219036,1.0,0.8611135,1.0,1.0
178,30.614136,0.0,0.0,0.0,0.0,0.0,1.0
179,137.48427,1.0,0.59485906,1.0,0.70012724,1.0,1.0
180,88.795006,1.0,0.33617237,1.0,0.0,1.0,1.0
181,50.20714,0.0,0.7716082,1.0,0.79141134,1.0,1.0
182,65.071846,0.0,0.14630182,0.0,0.0,0.0,1.0
183,34.483337,0.0,0.0,0.0,0.0,0.0,1.0
184,20.161415,0.0,0.0,0.0,0.0,0.0,1.0
185,49.576294,0.0,0.72864485,1.0,0.0,1.0,1.0
186,48.13427,0.0,0.76595944,1.0,0.772763,1.0,1.0
187,96.89829,1.0,0.63088423,1.0,0.77038735,1.0,1.0
188,107.54407,1.0,0.6545463,1.0,0.0,1.0,1.0
189,59.44469,0.0,0.7580385,1.0,0.18046425,1.0,1.0
190,59.363705,0.0,0.7206526,1.0,0.7583752,1.0,1.0
191,39.54651,0.0,0.0,0.0,0.0,0.0,1.0
192,101.0583,1.0,0.15381564,1.0,0.16718455,1.0,1.0
193,72.76504,0.0,0.33850285,1.0,0.0,1.0,1.0
194,71.64477,0.0,0.0,0.0,0.0,0.0,1.0
195,58.92793,0.0,0.69216204,1.0,0.7204416,1.0,1.0
196,99.70511,1.0,0.96164733,1.0,0.0,1.0,1.0
197,111.37529,1.0,0.6285142,1.0,0.6592059,1.0,1.0
198,80.52368,1.0,0.80702937,1.0,0.88919044,1.0,1.0
199,12.973798,0.0,0.0,0.0,0.0,0.0,1.0
200,89.82828,1.0,0.6827556,1.0,0.0,1.0,1.0
201,37.54209,0.0,0.9662645,1.0,0.0,1.0,1.0
202,17.096493,0.0,0.15875664,0.0,0.0,0.0,1.0
203,126.65273,1.0,0.6601222,1.0,0.66202956,1.0,1.0
204,111.80946,1.0,0.65434,1.0,0.0,1.0,1.0
205,107.224884,1.0,0.63711995,1.0,0.34525165,1.0,1.0
206,108.53148,1.0,0.0,0.0,0.0,0.0,1.0
207,56.691162,0.0,0.0,0.0,0.0,0.0,1.0
208,52.426964,0.0,0.3611335,0.0,0.0,0.0,1.0
209,72.50287,0.0,0.6804824,1.0,0.0,1.0,1.0
210,58.566944,0.0,0.7122056,1.0,0.21908933,1.0,1.0
211,90.598465,1.0,0.65631896,1.0,0.0,1.0,1.0
212,79.367935,1.0,0.6730051,1.0,0.4522611,1.0,1.0
213,69.276634,0.0,0.6785761,1.0,0.8328905,1.0,1.0
