,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.262278,1.0,1.2161562,1.0,2.2,1.0,1.0
1,8.749132,1.0,0.24627854,0.0,4.8,1.0,1.0
2,4.8325973,0.0,0.30692768,0.0,0.0,1.0,1.0
3,5.275383,0.0,1.1578307,1.0,4.4,1.0,1.0
4,3.239415,0.0,1.2802277,1.0,0.4,0.0,1.0
5,4.8242893,0.0,1.4774599,1.0,2.4,1.0,1.0
6,3.2768054,0.0,1.4556025,1.0,2.6,1.0,1.0
7,3.8481815,0.0,1.3466909,1.0,1.6,0.0,1.0
8,4.3501024,0.0,1.1882315,1.0,26.2,1.0,1.0
9,8.968923,1.0,0.991341,1.0,35.6,1.0,1.0
10,4.3274593,0.0,1.258632,1.0,9.8,1.0,1.0
11,8.262278,1.0,1.1900374,1.0,4.6,1.0,1.0
12,5.4176536,0.0,1.1732662,1.0,10.2,1.0,1.0
13,8.749132,1.0,0.98649853,1.0,49.6,1.0,1.0
14,4.3358655,0.0,1.2295192,1.0,2.8,1.0,1.0
15,4.6516633,0.0,1.5559124,1.0,18.6,1.0,1.0
16,9.577901,1.0,0.9882318,1.0,5.6,1.0,1.0
17,6.044744,0.0,1.2740283,1.0,0.4,1.0,1.0
18,8.262278,1.0,1.0315833,1.0,15.4,1.0,1.0
19,3.311496,0.0,1.2968458,1.0,3.4,0.0,1.0
20,4.1737313,0.0,0.0,0.0,0.6,0.0,1.0
21,4.357452,0.0,1.371737,1.0,3.4,1.0,1.0
22,7.3681,0.0,1.1789293,1.0,3.2,1.0,1.0
23,2.5803668,0.0,0.3338082,0.0,5.6,1.0,1.0
24,7.4036922,0.0,1.9681417,1.0,0.8,0.0,1.0
25,5.0450664,0.0,1.5433741,1.0,2.0,0.0,1.0
26,4.3171396,0.0,0.3338082,0.0,0.0,0.0,1.0
27,12.561486,1.0,0.98360014,1.0,0.4,1.0,1.0
28,11.714988,1.0,1.0113723,1.0,4.2,1.0,1.0
29,7.253648,0.0,1.0668966,1.0,29.2,1.0,1.0
30,2.5621176,0.0,1.5225749,1.0,1.6,1.0,1.0
31,8.968923,1.0,0.9814487,1.0,63.4,1.0,0.0
32,4.438242,0.0,1.1541561,1.0,1.0,1.0,0.0
33,2.6908302,0.0,0.0,0.0,0.0,0.0,0.0
34,1.6488849,0.0,0.0,0.0,0.2,0.0,0.0
