,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,67.987785,1.0,0.0,0.0,0.0,1.0,1.0
1,66.63525,1.0,0.8642303,1.0,3.6,1.0,1.0
2,8.027875,0.0,0.0,0.0,0.0,1.0,1.0
3,79.066925,1.0,0.0,0.0,0.0,0.0,1.0
4,7.13329,0.0,0.0,0.0,0.0,0.0,1.0
5,116.37163,1.0,0.37571406,1.0,0.0,1.0,1.0
6,124.81115,1.0,0.0,1.0,0.0,0.0,1.0
7,41.706886,0.0,0.8865268,1.0,0.0,1.0,1.0
8,84.66911,1.0,0.7355117,1.0,2.0,1.0,1.0
9,38.578506,0.0,1.0658634,1.0,1.0,1.0,1.0
10,32.96228,0.0,0.0,0.0,4.4,1.0,1.0
11,53.09591,0.0,0.34661165,1.0,0.0,1.0,1.0
12,45.63513,0.0,0.0,0.0,0.0,0.0,1.0
13,24.527863,0.0,0.0,0.0,0.0,1.0,1.0
14,23.301174,0.0,0.0,0.0,0.0,1.0,1.0
15,35.31338,0.0,0.80239856,1.0,4.0,1.0,1.0
16,42.993908,0.0,0.0,0.0,0.0,0.0,1.0
17,20.947607,0.0,0.0,0.0,0.0,0.0,1.0
18,66.823296,1.0,0.44935635,1.0,4.6,1.0,1.0
19,158.99709,1.0,0.16649038,1.0,0.0,1.0,1.0
20,13.520947,0.0,1.9380788,1.0,0.2,0.0,1.0
21,144.87935,1.0,0.0,1.0,0.0,0.0,1.0
22,10.961236,0.0,0.3934831,1.0,0.2,1.0,1.0
23,9.225186,0.0,0.0,0.0,0.0,0.0,1.0
24,19.037922,0.0,0.0,0.0,0.0,0.0,1.0
25,7.0391283,0.0,0.0,0.0,0.0,0.0,1.0
26,107.62711,1.0,0.7746941,1.0,0.2,1.0,1.0
27,17.428679,0.0,0.58864063,1.0,0.0,0.0,1.0
28,3.2500012,0.0,0.0,0.0,0.0,1.0,1.0
29,9.351375,0.0,0.0,0.0,0.0,1.0,1.0
30,8.181871,0.0,0.0,0.0,0.0,0.0,1.0
31,228.723,1.0,0.68310523,1.0,2.8,1.0,1.0
32,24.765705,0.0,0.0,0.0,0.0,0.0,1.0
33,12.743582,0.0,0.8544023,1.0,1.6,1.0,1.0
34,22.211369,0.0,0.0,0.0,0.0,0.0,1.0
35,9.22348,0.0,0.58035284,1.0,0.0,1.0,1.0
36,147.41621,1.0,0.8940002,1.0,1.8,1.0,1.0
37,106.920944,1.0,0.7904203,1.0,19.8,1.0,1.0
38,158.437,1.0,0.730982,1.0,9.4,1.0,1.0
39,6.9441495,0.0,0.0,0.0,0.0,0.0,1.0
40,35.930843,0.0,0.18668607,1.0,0.2,1.0,1.0
41,19.493395,0.0,0.0,0.0,0.0,0.0,1.0
42,1.6985298,0.0,0.0,0.0,0.0,1.0,1.0
43,9.456536,0.0,0.9311752,1.0,1.0,1.0,1.0
44,204.29814,1.0,0.15776369,1.0,0.0,1.0,1.0
45,30.970808,0.0,0.0,0.0,0.0,0.0,1.0
46,71.38756,1.0,0.819598,1.0,0.2,1.0,1.0
47,7.535987,0.0,0.0,0.0,0.8,1.0,1.0
48,50.73134,0.0,0.9882367,1.0,0.0,1.0,1.0
49,42.962234,0.0,0.3768907,1.0,0.2,1.0,1.0
50,0.99700963,0.0,0.0,0.0,0.0,0.0,1.0
51,37.716606,0.0,0.3908373,1.0,0.0,1.0,1.0
52,93.79611,1.0,0.40505436,1.0,0.0,1.0,1.0
53,123.42075,1.0,0.37694362,1.0,0.0,1.0,1.0
54,99.26426,1.0,0.7282756,1.0,0.2,1.0,1.0
55,2.6647966,0.0,0.0,0.0,0.0,0.0,1.0
56,63.906395,1.0,0.8408477,1.0,1.2,1.0,1.0
57,45.95744,0.0,0.7580674,1.0,12.4,1.0,1.0
58,55.66975,0.0,0.0,0.0,0.0,1.0,1.0
59,18.067814,0.0,0.0,0.0,0.0,0.0,1.0
60,70.2414,1.0,0.0,0.0,0.0,0.0,1.0
61,50.516132,0.0,0.51382494,1.0,0.4,1.0,1.0
62,194.31996,1.0,0.7391659,1.0,0.4,1.0,1.0
63,20.29515,0.0,0.93682826,1.0,0.0,1.0,1.0
64,147.41621,1.0,0.34981522,1.0,3.2,1.0,1.0
65,40.15858,0.0,0.0,0.0,0.2,1.0,1.0
66,89.0543,1.0,0.20745677,1.0,0.0,1.0,1.0
67,17.954628,0.0,0.2556222,1.0,0.0,0.0,1.0
68,4.3921294,0.0,0.0,0.0,0.0,1.0,1.0
69,16.605621,0.0,0.0,0.0,0.0,0.0,1.0
70,96.99995,1.0,0.35568276,1.0,2.2,1.0,1.0
71,9.963384,0.0,0.0,0.0,0.0,0.0,1.0
72,8.836641,0.0,0.5007845,1.0,2.0,1.0,1.0
73,10.9747,0.0,0.19853275,0.0,0.0,0.0,1.0
74,94.58457,1.0,0.0,0.0,0.0,1.0,1.0
75,4.0503883,0.0,0.0,0.0,0.0,1.0,1.0
76,8.326841,0.0,0.0,0.0,0.0,0.0,1.0
77,14.372478,0.0,0.0,0.0,4.8,1.0,1.0
78,41.721077,0.0,0.99423414,1.0,7.4,1.0,1.0
79,22.808786,0.0,0.46127057,1.0,0.0,1.0,1.0
80,34.428673,0.0,0.37912393,1.0,2.2,1.0,1.0
81,10.34544,0.0,0.0,0.0,0.0,1.0,1.0
82,111.631874,1.0,0.17005262,1.0,0.4,1.0,1.0
83,6.232105,0.0,0.0,0.0,0.0,1.0,1.0
84,48.274998,0.0,0.18668607,1.0,0.2,1.0,1.0
85,10.106233,0.0,0.0,0.0,0.0,1.0,1.0
86,18.223814,0.0,0.15099499,0.0,1.2,1.0,1.0
87,134.75182,1.0,0.0,1.0,0.0,0.0,1.0
88,26.649939,0.0,0.32443374,1.0,0.0,1.0,1.0
89,17.889482,0.0,0.0,0.0,0.0,1.0,1.0
90,23.590876,0.0,0.0,0.0,1.0,1.0,1.0
