,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,14.655546,0.0,0.3946203,1.0,0.4,1.0,1.0
1,20.094301,0.0,0.83231974,1.0,1.0,1.0,1.0
2,16.425884,0.0,0.8550286,1.0,3.0,1.0,1.0
3,1.3207744,0.0,0.0,0.0,0.0,0.0,1.0
4,48.395638,1.0,0.79883325,1.0,0.6,1.0,1.0
5,60.49858,1.0,0.36470914,1.0,0.6,1.0,1.0
6,53.165173,1.0,0.8073048,1.0,1.0,1.0,1.0
7,5.9743714,0.0,0.0,0.0,0.0,0.0,1.0
8,25.123453,0.0,0.8532481,1.0,43.2,1.0,1.0
9,22.357725,0.0,0.314658,1.0,0.0,0.0,1.0
10,14.34388,0.0,0.0,0.0,0.0,0.0,1.0
11,40.43731,1.0,0.95041186,1.0,3.2,1.0,1.0
12,7.1436553,0.0,0.0,0.0,0.0,0.0,1.0
13,54.249207,1.0,0.81790465,1.0,1.2,1.0,1.0
14,6.006106,0.0,0.0,0.0,0.0,0.0,1.0
15,108.365166,1.0,0.69296724,1.0,1.2,1.0,1.0
16,2.6507108,0.0,0.0,0.0,0.0,0.0,1.0
17,39.371323,1.0,0.18635939,1.0,1.8,1.0,1.0
18,23.27994,0.0,0.7749125,1.0,0.2,0.0,1.0
19,9.375075,0.0,0.0,0.0,0.0,0.0,1.0
20,55.53143,1.0,0.7944768,1.0,2.4,1.0,1.0
21,8.234403,0.0,0.0,0.0,0.8,1.0,1.0
22,71.61371,1.0,0.70153135,1.0,6.6,1.0,1.0
23,48.701164,1.0,0.4367086,1.0,0.0,0.0,1.0
24,12.842343,0.0,1.0623521,1.0,0.0,0.0,1.0
25,21.127094,0.0,0.47203907,1.0,0.6,1.0,1.0
26,88.37167,1.0,0.0,1.0,0.0,1.0,1.0
27,33.846382,1.0,0.44270465,1.0,0.0,0.0,1.0
28,16.989902,0.0,0.8413148,1.0,2.8,1.0,1.0
29,35.856167,1.0,0.0,0.0,0.0,1.0,1.0
30,44.56121,1.0,0.84161717,1.0,0.4,1.0,1.0
31,23.268412,0.0,0.37389562,1.0,0.2,1.0,1.0
32,6.876985,0.0,0.0,0.0,0.0,0.0,1.0
33,17.420889,0.0,0.0,0.0,0.0,0.0,1.0
34,76.032555,1.0,1.0454079,1.0,1.6,1.0,1.0
35,21.600502,0.0,0.1951614,1.0,0.0,0.0,1.0
36,54.323235,1.0,0.86479557,1.0,4.2,1.0,1.0
37,23.225405,0.0,0.9900933,1.0,4.2,1.0,1.0
38,11.8362665,0.0,0.0,0.0,0.0,0.0,1.0
39,30.416992,1.0,0.44997582,1.0,0.2,1.0,1.0
40,40.744457,1.0,0.38096312,1.0,3.0,1.0,1.0
41,5.5982327,0.0,0.0,0.0,0.0,1.0,1.0
42,60.49858,1.0,0.82018614,1.0,0.4,1.0,1.0
43,83.665695,1.0,0.906814,1.0,0.2,1.0,1.0
44,23.272243,0.0,0.0,0.0,0.2,1.0,1.0
45,35.709473,1.0,0.74803716,1.0,17.4,1.0,1.0
46,8.149177,0.0,0.0,0.0,0.0,0.0,1.0
47,6.6254883,0.0,0.0,0.0,1.4,1.0,1.0
48,33.60073,1.0,0.84025097,1.0,0.2,1.0,1.0
49,45.38221,1.0,0.0,1.0,0.2,1.0,1.0
50,39.41258,1.0,0.88118935,1.0,38.2,1.0,1.0
51,27.8884,1.0,0.9589296,1.0,2.8,1.0,1.0
52,24.158869,0.0,0.0,0.0,0.0,0.0,1.0
53,29.240149,1.0,0.2835785,1.0,0.4,1.0,1.0
54,88.37167,1.0,0.68392354,1.0,5.8,1.0,1.0
55,22.78044,0.0,0.757198,1.0,1.6,1.0,1.0
56,57.21847,1.0,0.76129943,1.0,1.4,1.0,1.0
57,96.50771,1.0,0.78210735,1.0,21.4,1.0,1.0
58,26.640009,0.0,0.0,0.0,2.2,1.0,1.0
59,24.536015,0.0,0.0,0.0,0.0,1.0,1.0
60,28.344946,1.0,0.49576947,1.0,0.2,1.0,1.0
61,47.691017,1.0,0.8539039,1.0,0.0,1.0,1.0
62,89.677704,1.0,0.7083292,1.0,1.8,1.0,1.0
63,79.01517,1.0,0.3662221,1.0,0.0,1.0,1.0
64,20.790941,0.0,0.0,0.0,0.0,1.0,1.0
65,25.35481,0.0,0.9803609,1.0,1.6,1.0,1.0
66,9.490617,0.0,0.0,0.0,0.0,1.0,1.0
67,48.061104,1.0,0.91689074,1.0,2.4,1.0,1.0
68,99.49036,1.0,0.7627807,1.0,0.6,1.0,1.0
69,32.05988,1.0,0.4767536,1.0,0.0,0.0,1.0
70,63.811466,1.0,0.8262532,1.0,1.8,1.0,1.0
71,70.27671,1.0,1.0223867,1.0,0.4,1.0,1.0
72,4.9167747,0.0,0.0,0.0,0.2,1.0,1.0
73,28.65666,1.0,0.0,0.0,0.4,1.0,1.0
74,7.324545,0.0,0.0,0.0,0.0,0.0,1.0
75,10.506552,0.0,0.9153108,1.0,0.0,1.0,1.0
76,37.82172,1.0,0.0,0.0,0.4,1.0,1.0
77,61.436947,1.0,0.0,1.0,0.0,0.0,1.0
78,81.37655,1.0,0.66720474,1.0,15.2,1.0,1.0
79,17.227942,0.0,0.0,0.0,0.2,1.0,1.0
80,16.90721,0.0,0.0,0.0,0.2,1.0,1.0
81,56.838192,1.0,0.42794597,1.0,0.0,1.0,1.0
82,17.714088,0.0,0.17815378,0.0,0.0,0.0,1.0
83,34.545734,1.0,0.83003044,1.0,19.0,1.0,1.0
84,5.4921174,0.0,1.0759689,1.0,17.0,1.0,1.0
85,49.786736,1.0,0.38626155,1.0,0.2,1.0,1.0
86,20.86009,0.0,0.7964261,1.0,3.8,1.0,1.0
87,14.147146,0.0,0.0,0.0,0.0,0.0,1.0
88,8.88967,0.0,0.17680365,0.0,1.8,1.0,1.0
89,9.049543,0.0,0.94628483,1.0,0.4,1.0,1.0
90,8.414283,0.0,0.0,0.0,0.0,0.0,1.0
91,63.348034,1.0,0.8663284,1.0,5.2,1.0,1.0
92,17.377491,0.0,0.77026796,1.0,4.4,1.0,1.0
93,8.309588,0.0,0.0,0.0,0.0,0.0,1.0
94,96.50771,1.0,0.66189605,1.0,25.2,1.0,1.0
95,11.010564,0.0,0.0,0.0,0.0,0.0,1.0
96,22.277452,0.0,0.9317887,1.0,2.2,1.0,1.0
97,22.756916,0.0,0.0,0.0,0.0,0.0,1.0
98,35.339672,1.0,0.0,0.0,0.0,0.0,1.0
99,53.211884,1.0,0.35413894,1.0,1.8,1.0,1.0
100,46.0873,1.0,0.43259895,1.0,0.0,0.0,1.0
101,23.394299,0.0,0.3601107,1.0,2.0,1.0,1.0
102,18.364853,0.0,0.19058423,1.0,0.2,1.0,1.0
103,8.989613,0.0,1.158226,1.0,0.8,1.0,1.0
104,13.10988,0.0,0.8675321,1.0,7.6,1.0,1.0
105,52.282112,1.0,0.36941147,1.0,0.0,1.0,1.0
106,2.4570706,0.0,0.19298375,0.0,0.0,1.0,1.0
107,29.695799,1.0,0.88636464,1.0,6.2,1.0,1.0
108,76.51581,1.0,0.40318412,1.0,0.0,1.0,1.0
109,29.080536,1.0,0.0,0.0,4.0,1.0,1.0
110,16.948347,0.0,0.78914094,1.0,8.8,1.0,1.0
111,23.973497,0.0,0.818892,1.0,9.8,1.0,1.0
112,9.204614,0.0,0.26118925,1.0,0.0,1.0,1.0
113,39.00631,1.0,0.76256365,1.0,0.2,1.0,1.0
114,13.254752,0.0,0.0,0.0,0.0,0.0,1.0
115,48.24903,1.0,0.39930332,1.0,0.4,1.0,1.0
116,15.543158,0.0,0.41001534,1.0,0.0,1.0,1.0
117,79.05364,1.0,0.0,1.0,0.2,1.0,1.0
118,14.709192,0.0,0.51367956,1.0,0.4,1.0,1.0
119,46.7367,1.0,0.7085487,1.0,36.6,1.0,1.0
120,102.67596,1.0,0.70175666,1.0,1.0,1.0,1.0
