,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.968635,1.0,0.947161,1.0,1.5765582,1.0,1.0
1,10.133776,1.0,0.0,1.0,0.0,1.0,1.0
2,6.6846023,1.0,0.64425224,1.0,0.0,1.0,1.0
3,1.6235245,1.0,0.0,1.0,0.0,1.0,1.0
4,16.507914,1.0,0.87811416,1.0,0.86419874,1.0,1.0
5,10.319959,1.0,0.93451643,1.0,0.9065037,1.0,1.0
6,11.208679,1.0,1.0069183,1.0,1.0161712,1.0,1.0
7,2.3342798,1.0,0.0,1.0,0.0,1.0,1.0
8,8.217281,1.0,1.4427787,1.0,1.3515602,1.0,1.0
9,8.411174,1.0,0.98244286,1.0,0.9799159,1.0,1.0
10,16.100052,1.0,0.86687475,1.0,0.86176574,1.0,1.0
11,17.916595,1.0,0.0,1.0,0.0,1.0,1.0
12,8.934149,1.0,1.0901871,1.0,1.0468599,1.0,1.0
13,9.069194,1.0,1.0174142,1.0,0.9400087,1.0,1.0
14,7.829984,1.0,0.0,1.0,0.0,1.0,1.0
15,10.645453,1.0,0.92243725,1.0,0.9266573,1.0,1.0
16,18.43955,1.0,1.1278917,1.0,1.1391798,1.0,1.0
17,17.854935,1.0,0.8321312,1.0,0.9788409,1.0,1.0
18,21.712296,1.0,1.1042587,1.0,1.2646506,1.0,1.0
19,24.73289,1.0,0.810402,1.0,0.80071884,1.0,1.0
20,4.6479816,1.0,1.3146323,1.0,1.2569034,1.0,1.0
21,12.466536,1.0,0.9112094,1.0,1.008072,1.0,1.0
22,14.494512,1.0,0.4626808,1.0,0.0,1.0,1.0
23,28.941692,1.0,0.94835436,1.0,1.2851293,1.0,1.0
24,27.470274,1.0,0.0,1.0,0.0,1.0,1.0
25,7.2748566,1.0,1.3593093,1.0,1.4183679,1.0,1.0
26,17.908707,1.0,1.2783047,1.0,1.2976292,1.0,1.0
27,10.656911,1.0,0.5310086,1.0,0.22062396,1.0,1.0
28,12.117499,1.0,1.6047,1.0,0.0,1.0,1.0
29,8.3747635,1.0,1.0256735,1.0,1.0539094,1.0,1.0
30,15.598379,1.0,0.9525083,1.0,0.8961645,1.0,1.0
31,11.04351,1.0,0.92445505,1.0,1.0027616,1.0,1.0
