,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,14.846708,1.0,0.39281753,1.0,0.0,1.0,1.0
1,20.886335,1.0,0.93622184,1.0,0.0,1.0,1.0
2,15.998149,1.0,0.8572035,1.0,0.0,1.0,1.0
3,47.894535,1.0,0.79662687,1.0,0.0,1.0,1.0
4,62.62233,1.0,0.79083455,1.0,0.0,1.0,1.0
5,38.82805,1.0,0.75255823,1.0,0.22062396,1.0,1.0
6,54.95536,1.0,0.8107226,1.0,0.0,1.0,1.0
7,97.07078,1.0,0.69776684,1.0,0.47806633,1.0,1.0
8,26.015038,1.0,0.85823196,1.0,0.8722572,1.0,1.0
9,23.025982,1.0,0.37892318,1.0,0.0,1.0,1.0
10,39.948467,1.0,0.48803917,1.0,0.0,1.0,1.0
11,6.36337,1.0,0.0,1.0,0.0,1.0,1.0
12,42.84573,1.0,0.7052565,1.0,0.0,1.0,1.0
13,6.704324,1.0,0.0,1.0,0.0,1.0,1.0
14,54.55187,1.0,0.830789,1.0,0.0,1.0,1.0
15,12.454326,1.0,0.0,1.0,0.0,1.0,1.0
16,6.388637,1.0,0.0,1.0,0.0,1.0,1.0
17,15.712812,1.0,0.0,1.0,0.0,1.0,1.0
18,41.458237,1.0,0.18668607,1.0,0.20295282,1.0,1.0
19,10.0127325,1.0,0.0,1.0,0.0,1.0,1.0
20,23.479431,1.0,0.69644374,1.0,0.0,1.0,1.0
21,55.578056,1.0,0.7927858,1.0,1.1436584,1.0,1.0
22,13.329997,1.0,0.9547769,1.0,0.0,1.0,1.0
23,63.56855,1.0,0.37318718,1.0,0.0,1.0,1.0
24,12.348928,1.0,1.0729303,1.0,0.0,1.0,1.0
25,30.586952,1.0,0.1739314,1.0,0.17383526,1.0,1.0
26,6.743094,1.0,0.314658,1.0,0.0,1.0,1.0
27,31.493418,1.0,0.8354233,1.0,0.0,1.0,1.0
28,46.109413,1.0,0.76035327,1.0,0.0,1.0,1.0
29,86.64337,1.0,0.0,1.0,0.0,1.0,1.0
30,46.124878,1.0,0.84561825,1.0,0.0,1.0,1.0
31,23.06431,1.0,0.3744317,1.0,0.0,1.0,1.0
32,6.78378,1.0,0.0,1.0,0.0,1.0,1.0
33,16.737663,1.0,0.0,1.0,0.0,1.0,1.0
34,55.578056,1.0,0.9142988,1.0,0.0,1.0,1.0
35,74.0902,1.0,0.39613196,1.0,0.23617734,1.0,1.0
36,27.036259,1.0,0.0,1.0,0.0,1.0,1.0
37,23.028414,1.0,0.99145764,1.0,1.1377054,1.0,1.0
38,11.972392,1.0,0.0,1.0,0.0,1.0,1.0
39,38.26767,1.0,0.8992604,1.0,0.408786,1.0,1.0
40,33.862335,1.0,0.8765853,1.0,0.0,1.0,1.0
41,17.150093,1.0,0.0,1.0,0.0,1.0,1.0
42,40.592163,1.0,0.38298905,1.0,0.20295282,1.0,1.0
43,23.35048,1.0,0.0,1.0,0.0,1.0,1.0
44,83.01025,1.0,0.9244476,1.0,0.0,1.0,1.0
45,7.4416766,1.0,0.0,1.0,0.0,1.0,1.0
46,6.4496694,1.0,0.0,1.0,0.0,1.0,1.0
47,33.505024,1.0,0.8316207,1.0,0.0,1.0,1.0
48,33.660862,1.0,0.40483928,1.0,0.0,1.0,1.0
49,27.425476,1.0,0.9257104,1.0,0.0,1.0,1.0
50,23.653166,1.0,0.75209093,1.0,0.0,1.0,1.0
51,58.042713,1.0,0.75853837,1.0,0.0,1.0,1.0
52,62.028618,1.0,0.0,1.0,0.0,1.0,1.0
53,26.248972,1.0,0.0,1.0,0.0,1.0,1.0
54,15.431173,1.0,0.0,1.0,0.0,1.0,1.0
55,29.09365,1.0,0.464429,1.0,0.0,1.0,1.0
56,47.54692,1.0,0.85156816,1.0,0.0,1.0,1.0
57,88.10279,1.0,0.71187705,1.0,0.55774784,1.0,1.0
58,22.186468,1.0,0.0,1.0,0.0,1.0,1.0
59,26.890932,1.0,0.9468514,1.0,0.0,1.0,1.0
60,8.601201,1.0,0.0,1.0,0.0,1.0,1.0
61,81.18347,1.0,0.69333005,1.0,0.89482874,1.0,1.0
62,5.1172214,1.0,0.0,1.0,0.0,1.0,1.0
63,27.409548,1.0,0.0,1.0,0.0,1.0,1.0
64,37.93321,1.0,0.27905533,1.0,0.0,1.0,1.0
65,17.451452,1.0,0.0,1.0,0.0,1.0,1.0
66,112.429665,1.0,0.3761489,1.0,0.0,1.0,1.0
