,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,116.853874,1.0,0.6711088,1.0,4.0,1.0,1.0
1,36.16807,1.0,0.0,1.0,0.0,1.0,1.0
2,82.362305,1.0,0.8289287,1.0,2.0,1.0,1.0
3,78.28612,1.0,0.33837795,1.0,0.0,1.0,1.0
4,16.222391,1.0,0.8031041,1.0,2.0,1.0,1.0
5,150.89987,1.0,0.5998659,1.0,2.0,1.0,1.0
6,55.3685,1.0,0.1612244,1.0,0.0,1.0,1.0
7,89.45846,1.0,0.31074047,1.0,0.0,1.0,1.0
8,137.3602,1.0,0.6666849,1.0,0.0,1.0,1.0
9,113.66016,1.0,0.66704184,1.0,4.0,1.0,1.0
10,10.246172,1.0,0.14954147,1.0,0.0,1.0,1.0
11,73.87165,1.0,0.0,1.0,0.0,1.0,1.0
12,14.798666,1.0,0.8468671,1.0,2.0,1.0,1.0
13,107.07888,1.0,0.70047,1.0,4.0,1.0,1.0
14,56.3371,1.0,0.38301754,1.0,1.0,1.0,1.0
15,79.97719,1.0,0.0,1.0,0.0,1.0,1.0
16,37.907494,1.0,0.7659496,1.0,0.0,1.0,1.0
17,65.613945,1.0,0.34450805,1.0,0.0,1.0,1.0
18,66.69734,1.0,0.3591962,1.0,1.0,1.0,1.0
19,66.72396,1.0,0.3496101,1.0,0.0,1.0,1.0
20,94.36506,1.0,0.68131953,1.0,2.0,1.0,1.0
21,73.51253,1.0,0.36285582,1.0,0.0,1.0,1.0
22,111.544785,1.0,0.65694183,1.0,0.0,1.0,1.0
23,26.337936,1.0,0.0,1.0,0.0,1.0,1.0
24,147.0739,1.0,0.6535828,1.0,4.0,1.0,1.0
25,53.73957,1.0,0.6867906,1.0,2.0,1.0,1.0
26,58.585045,1.0,0.67981493,1.0,4.0,1.0,1.0
27,47.5367,1.0,0.0,1.0,0.0,1.0,1.0
28,127.89595,1.0,0.7420196,1.0,4.0,1.0,1.0
29,118.90113,1.0,0.6115398,1.0,2.0,1.0,1.0
30,85.01843,1.0,0.7038963,1.0,0.0,1.0,1.0
31,16.742981,1.0,0.0,1.0,0.0,1.0,1.0
32,46.076126,1.0,0.0,1.0,0.0,1.0,1.0
33,95.88889,1.0,0.614233,1.0,0.0,1.0,1.0
34,68.86634,1.0,0.7273762,1.0,2.0,1.0,1.0
35,119.46839,1.0,0.6593833,1.0,4.0,1.0,1.0
36,165.96869,1.0,0.38395,1.0,0.0,1.0,1.0
37,125.97239,1.0,0.6324793,1.0,4.0,1.0,1.0
38,71.438896,1.0,0.66653764,1.0,0.0,1.0,1.0
39,31.38229,1.0,0.708792,1.0,4.0,1.0,1.0
40,63.32758,1.0,0.713745,1.0,0.0,1.0,1.0
41,51.3493,1.0,0.73624253,1.0,2.0,1.0,1.0
42,101.45412,1.0,0.62237227,1.0,1.0,1.0,1.0
43,103.52165,1.0,0.32381538,1.0,0.0,1.0,1.0
44,36.46615,1.0,0.7650362,1.0,0.0,1.0,1.0
45,59.760883,1.0,0.6700003,1.0,1.0,1.0,1.0
46,54.440872,1.0,0.50674325,1.0,0.0,1.0,1.0
47,152.54814,1.0,0.6372412,1.0,0.0,1.0,1.0
48,94.63652,1.0,0.73639685,1.0,4.0,1.0,1.0
49,54.393837,1.0,0.0,1.0,0.0,1.0,1.0
50,24.787645,1.0,0.3536299,1.0,0.0,1.0,1.0
51,34.411118,1.0,0.3491034,1.0,0.0,1.0,1.0
52,26.273287,1.0,0.14691128,1.0,0.0,1.0,1.0
53,121.005226,1.0,0.0,1.0,0.0,1.0,1.0
54,108.62543,1.0,0.6618216,1.0,0.0,1.0,1.0
55,30.273708,1.0,0.17070867,1.0,0.0,1.0,1.0
56,15.140373,1.0,0.0,1.0,0.0,1.0,1.0
57,94.18139,1.0,0.6498488,1.0,0.0,1.0,1.0
58,128.10265,1.0,0.617921,1.0,4.0,1.0,1.0
59,62.388546,1.0,0.15251392,1.0,0.0,1.0,1.0
60,100.58888,1.0,0.68522966,1.0,0.0,1.0,1.0
61,178.04538,1.0,0.30445537,1.0,0.0,1.0,1.0
62,69.42896,1.0,0.6675394,1.0,2.0,1.0,1.0
63,113.66016,1.0,0.6418736,1.0,4.0,1.0,1.0
64,72.14017,1.0,0.68547887,1.0,4.0,1.0,1.0
65,74.20593,1.0,0.70235497,1.0,4.0,1.0,1.0
66,8.447199,1.0,0.5348176,1.0,0.0,1.0,1.0
67,44.91455,1.0,0.72678536,1.0,4.0,1.0,1.0
68,27.742384,1.0,0.72954375,1.0,4.0,1.0,1.0
69,128.14122,1.0,0.6333339,1.0,0.0,1.0,1.0
70,74.84694,1.0,0.7579771,1.0,4.0,1.0,1.0
71,78.150635,1.0,0.7141918,1.0,4.0,1.0,1.0
72,112.72118,1.0,0.1521218,1.0,0.0,1.0,1.0
73,7.501964,1.0,0.0,1.0,0.0,1.0,1.0
74,85.31273,1.0,0.6679512,1.0,2.0,1.0,1.0
75,83.33884,1.0,0.33274198,1.0,0.0,1.0,1.0
76,26.123,1.0,0.0,1.0,0.0,1.0,1.0
