,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.261385,1.0,1.2161562,1.0,1.6437519,1.0,1.0
1,3.020671,1.0,1.383905,1.0,2.352158,1.0,1.0
2,8.755972,1.0,0.24627854,1.0,0.0,1.0,1.0
3,4.4901342,1.0,0.6753317,1.0,0.0,1.0,1.0
4,5.2744904,1.0,1.1578307,1.0,4.082466,1.0,1.0
5,3.2510803,1.0,1.2802277,1.0,0.0,1.0,1.0
6,2.9333231,1.0,0.64846617,1.0,0.0,1.0,1.0
7,4.3501024,1.0,1.1882315,1.0,27.801638,1.0,1.0
8,7.112452,1.0,1.0267678,1.0,6.833773,1.0,1.0
9,11.7218275,1.0,0.97990113,1.0,21.598503,1.0,1.0
10,1.8798503,1.0,0.0,1.0,0.0,1.0,1.0
11,8.261385,1.0,1.1900374,1.0,2.6051712,1.0,1.0
12,8.755972,1.0,0.98649853,1.0,40.227238,1.0,1.0
13,4.4818263,1.0,1.3551162,1.0,0.0,1.0,1.0
14,4.349559,1.0,1.2295192,1.0,2.491462,1.0,1.0
15,4.162318,1.0,1.5482221,1.0,1.1486983,1.0,1.0
16,2.9303212,1.0,0.0,1.0,0.0,1.0,1.0
17,6.095087,1.0,1.520565,1.0,0.0,1.0,1.0
18,8.261385,1.0,1.0315833,1.0,14.4223795,1.0,1.0
19,4.1945925,1.0,0.0,1.0,0.0,1.0,1.0
20,4.5478,1.0,1.1974329,1.0,11.554195,1.0,1.0
21,4.527842,1.0,0.6606342,1.0,0.0,1.0,1.0
22,5.0570703,1.0,1.5433741,1.0,1.4309691,1.0,1.0
23,11.7218275,1.0,0.97150964,1.0,26.148476,1.0,1.0
24,6.3473244,1.0,0.0,1.0,0.0,1.0,1.0
25,8.970298,1.0,1.0129861,1.0,27.360117,1.0,1.0
26,12.58629,1.0,0.98360014,1.0,0.0,1.0,1.0
27,8.976655,1.0,0.96471673,1.0,21.17047,1.0,1.0
28,8.828434,1.0,1.0564716,1.0,2.2368538,1.0,1.0
29,5.0570703,1.0,1.3302604,1.0,1.0,1.0,1.0
30,8.976655,1.0,0.9793018,1.0,40.035847,1.0,1.0
31,4.527842,1.0,1.3219808,1.0,0.0,1.0,0.0
32,9.722672,1.0,1.1068237,1.0,0.0,1.0,0.0
33,9.722672,1.0,1.1068237,1.0,0.0,1.0,0.0
34,9.722672,1.0,1.1068237,1.0,0.0,1.0,
