,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.262278,0.0,1.2161562,0.0,2.6,0.0,1.0
1,8.749132,0.0,0.24627854,0.0,4.8,1.0,1.0
2,8.968923,0.0,0.9814487,0.0,15.8,1.0,1.0
3,4.8325973,0.0,0.66760147,0.0,0.0,0.0,1.0
4,4.3501024,0.0,1.1882315,0.0,26.0,1.0,1.0
5,7.1047187,0.0,1.0267678,0.0,16.2,1.0,1.0
6,4.3501024,0.0,1.2411467,0.0,24.2,1.0,1.0
7,12.3503475,0.0,1.1750607,0.0,3.8,0.0,1.0
8,8.749132,0.0,0.98649853,0.0,35.4,1.0,1.0
9,4.3358655,0.0,1.2295192,0.0,2.8,1.0,1.0
10,4.15284,0.0,1.5482221,0.0,1.2,0.0,1.0
11,4.6516633,0.0,1.5559124,0.0,18.6,1.0,1.0
12,8.262278,0.0,1.0315833,0.0,15.8,0.0,1.0
13,3.2968934,0.0,1.2968458,0.0,3.4,0.0,1.0
14,4.340638,0.0,1.371737,0.0,3.4,0.0,1.0
15,2.5803668,0.0,0.3338082,0.0,5.6,0.0,1.0
16,7.401481,0.0,1.9681417,0.0,0.8,0.0,1.0
17,4.870305,0.0,0.6529039,0.0,2.8,0.0,1.0
18,5.0450664,0.0,1.5433741,0.0,1.6,0.0,1.0
19,5.0450664,0.0,1.3302604,0.0,1.0,0.0,1.0
20,11.712777,0.0,0.97150964,0.0,27.6,1.0,1.0
21,8.962565,0.0,1.014752,0.0,27.2,1.0,1.0
22,12.559276,0.0,0.98360014,0.0,0.4,0.0,1.0
23,5.3733,0.0,0.62361705,0.0,0.2,0.0,1.0
24,8.749132,0.0,0.98649853,0.0,47.0,1.0,1.0
25,4.7879853,0.0,1.235441,0.0,1.8,0.0,1.0
26,11.712777,0.0,1.0113723,0.0,4.2,0.0,1.0
27,6.294168,0.0,0.5114026,0.0,0.8,0.0,1.0
28,8.968923,0.0,0.991341,0.0,54.6,1.0,1.0
29,3.767178,0.0,1.237988,0.0,29.0,1.0,1.0
30,8.808465,0.0,1.0564716,0.0,6.6,0.0,1.0
31,2.5621176,0.0,1.4896281,0.0,1.2,0.0,0.0
32,1.7702901,0.0,0.0,0.0,0.06666667,0.0,0.0
33,10.5665,0.0,0.0,0.0,0.46666667,0.0,0.0
34,9.706218,0.0,1.1068237,0.0,0.13333334,0.0,0.0
35,0.314658,0.0,0.0,0.0,1.2666667,0.0,0.0
36,3.6103954,0.0,0.0,0.0,0.6666667,0.0,0.0
37,0.32845873,0.0,0.0,0.0,6.6,0.0,0.0
38,4.041025,0.0,0.0,0.0,0.13333334,0.0,0.0
39,9.706218,0.0,1.1068237,0.0,0.13333334,0.0,0.0
40,3.456618,0.0,0.0,0.0,0.0,0.0,0.0
41,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
42,3.2786417,0.0,1.442695,0.0,0.6666667,0.0,0.0
43,0.80550414,0.0,0.0,0.0,0.8,0.0,0.0
44,3.7065175,0.0,0.0,0.0,0.0,0.0,0.0
45,0.5195045,0.0,0.0,0.0,1.2666667,0.0,0.0
46,2.6469975,0.0,0.0,0.0,0.0,0.0,0.0
47,3.7225125,0.0,1.442695,0.0,32.466667,0.0,0.0
48,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
49,3.5889664,0.0,0.0,0.0,0.6666667,0.0,0.0
50,3.2786417,0.0,0.0,0.0,0.6666667,0.0,0.0
51,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
52,4.3171396,0.0,0.0,0.0,0.0,0.0,0.0
53,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
54,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
55,4.3171396,0.0,0.0,0.0,0.0,0.0,0.0
56,0.30010164,0.0,0.0,0.0,0.06666667,0.0,0.0
57,9.706218,0.0,1.1068237,0.0,0.13333334,0.0,0.0
58,3.2968934,0.0,0.0,0.0,0.8,0.0,0.0
59,9.706218,0.0,0.0,0.0,0.13333334,0.0,0.0
60,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
61,4.5258026,0.0,0.0,0.0,0.06666667,0.0,0.0
62,3.5613914,0.0,1.3595209,0.0,0.6666667,0.0,0.0
63,3.2786417,0.0,0.0,0.0,0.6666667,0.0,0.0
64,1.4942758,0.0,0.0,0.0,0.06666667,0.0,0.0
65,3.6277668,0.0,0.0,0.0,0.0,0.0,0.0
66,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
67,3.6103954,0.0,0.0,0.0,0.6666667,0.0,0.0
68,4.041025,0.0,1.2874192,0.0,0.13333334,0.0,0.0
69,0.24044918,0.0,0.0,0.0,0.8,0.0,0.0
70,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
71,9.706218,0.0,0.0,0.0,1.2,0.0,0.0
72,0.81647867,0.0,0.0,0.0,0.8,0.0,0.0
73,4.0045705,0.0,1.3043545,0.0,1.2666667,0.0,0.0
74,1.672195,0.0,0.0,0.0,0.0,0.0,0.0
75,9.706218,0.0,0.0,0.0,0.13333334,0.0,0.0
76,4.0045705,0.0,0.0,0.0,1.2666667,0.0,0.0
77,4.0045705,0.0,0.0,0.0,1.2666667,0.0,0.0
78,4.3501024,0.0,1.1882315,0.0,5.3333335,1.0,0.0
79,4.041025,0.0,1.2874192,0.0,0.13333334,0.0,0.0
80,9.706218,0.0,0.0,0.0,0.13333334,0.0,0.0
81,1.7674063,0.0,0.0,0.0,0.13333334,0.0,0.0
82,4.041025,0.0,0.0,0.0,0.13333334,0.0,0.0
83,1.489788,0.0,0.0,0.0,0.0,0.0,0.0
84,1.4942758,0.0,0.0,0.0,0.06666667,0.0,0.0
85,5.9776554,0.0,0.0,0.0,0.0,0.0,0.0
86,3.1609733,0.0,0.0,0.0,0.13333334,0.0,0.0
87,2.6469975,0.0,0.0,0.0,0.0,0.0,0.0
88,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
89,3.2786417,0.0,0.0,0.0,0.6666667,0.0,0.0
90,9.706218,0.0,1.1068237,0.0,0.13333334,0.0,0.0
91,1.7613332,0.0,0.0,0.0,0.6666667,0.0,0.0
92,4.3501024,0.0,1.1882315,0.0,5.3333335,1.0,0.0
93,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
94,0.24044918,0.0,0.0,0.0,1.2666667,0.0,0.0
95,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
96,2.8243682,0.0,0.0,0.0,0.13333334,0.0,0.0
97,4.041025,0.0,0.0,0.0,0.13333334,0.0,0.0
98,3.6103954,0.0,0.0,0.0,0.6666667,0.0,0.0
99,3.7225125,0.0,1.442695,0.0,32.466667,0.0,0.0
100,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
101,9.706218,0.0,0.49430537,0.0,1.2,0.0,0.0
102,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
103,4.3501024,0.0,0.0,0.0,5.3333335,1.0,0.0
104,3.6103954,0.0,1.3492762,0.0,0.6666667,0.0,0.0
105,2.6469975,0.0,0.7213475,0.0,0.0,0.0,0.0
106,3.2465234,0.0,0.0,0.0,0.6666667,0.0,0.0
107,2.6469975,0.0,0.7213475,0.0,0.0,0.0,0.0
108,3.2786417,0.0,1.442695,0.0,0.6666667,0.0,0.0
109,7.9257374,0.0,1.2356217,0.0,0.13333334,0.0,0.0
110,9.706218,0.0,1.1068237,0.0,0.13333334,0.0,0.0
111,1.8733506,0.0,0.0,0.0,0.6666667,0.0,0.0
112,2.6469975,0.0,0.7213475,0.0,0.0,0.0,0.0
113,1.3203496,0.0,0.0,0.0,0.06666667,0.0,0.0
114,1.6290046,0.0,0.0,0.0,0.46666667,0.0,0.0
115,2.6469975,0.0,0.7213475,0.0,0.0,0.0,0.0
116,10.5665,0.0,1.0226505,0.0,0.46666667,0.0,0.0
117,6.3387036,0.0,0.0,0.0,0.06666667,0.0,0.0
118,3.6103954,0.0,1.3492762,0.0,0.6666667,0.0,0.0
119,2.6469975,0.0,0.0,0.0,0.0,0.0,0.0
120,0.78027076,0.0,0.0,0.0,0.8,0.0,0.0
121,9.706218,0.0,0.0,0.0,1.2,0.0,0.0
122,9.706218,0.0,0.0,0.0,0.13333334,0.0,0.0
123,3.2786417,0.0,1.442695,0.0,0.6666667,0.0,0.0
124,3.5643797,0.0,1.383905,0.0,0.6666667,0.0,0.0
125,4.0045705,0.0,1.3043545,0.0,1.2666667,0.0,0.0
126,3.3099113,0.0,0.0,0.0,0.6666667,0.0,0.0
127,4.041025,0.0,1.2874192,0.0,0.13333334,0.0,0.0
128,4.8242893,0.0,0.0,0.0,0.06666667,0.0,0.0
129,3.1646483,0.0,0.0,0.0,0.8,0.0,0.0
130,4.041025,0.0,1.2874192,0.0,0.13333334,0.0,0.0
131,3.7065175,0.0,0.0,0.0,0.0,0.0,0.0
132,4.0045705,0.0,0.0,0.0,1.2666667,0.0,0.0
133,5.6275387,0.0,0.2675464,0.0,0.0,0.0,0.0
134,1.3377765,0.0,0.0,0.0,5.3333335,1.0,0.0
135,0.5344633,0.0,0.0,0.0,1.2666667,0.0,0.0
136,0.6982988,0.0,0.0,0.0,0.6666667,0.0,0.0
