,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,152.26698,0.0,0.0,0.0,0.0,0.0,1.0
1,36.805325,0.0,0.0,0.0,0.0,1.0,1.0
2,65.36078,0.0,0.746865,0.0,0.0,1.0,1.0
3,81.69689,0.0,0.83090705,0.0,0.0,1.0,1.0
4,128.74734,0.0,0.64895797,1.0,12.331205,1.0,1.0
5,16.301275,0.0,0.8017466,0.0,0.0,1.0,1.0
6,67.34215,0.0,0.0,0.0,0.0,0.0,1.0
7,46.317562,0.0,0.0,0.0,0.0,1.0,1.0
8,150.0999,0.0,0.59920776,1.0,0.0,1.0,1.0
9,55.20827,0.0,0.1612244,0.0,0.0,1.0,1.0
10,113.2735,0.0,0.6667036,0.0,5.64102,1.0,1.0
11,74.28215,0.0,0.0,0.0,0.0,0.0,1.0
12,12.931317,0.0,0.8856564,0.0,0.0,1.0,1.0
13,14.934392,0.0,0.84787035,0.0,0.0,1.0,1.0
14,107.46335,0.0,0.70026964,0.0,31.130695,1.0,1.0
15,55.615772,0.0,0.3818093,0.0,0.0,1.0,1.0
16,38.03402,0.0,0.7696126,0.0,0.0,1.0,1.0
17,46.181065,0.0,0.76215947,0.0,0.0,1.0,1.0
18,66.50595,0.0,0.34927103,0.0,0.0,1.0,1.0
19,158.37144,0.0,0.61128736,1.0,12.235054,1.0,1.0
20,93.73099,0.0,0.68178743,0.0,0.0,1.0,1.0
21,73.87999,0.0,0.36152628,0.0,0.0,1.0,1.0
22,138.62224,0.0,0.64234966,1.0,0.0,1.0,1.0
23,4.539443,0.0,0.0,0.0,0.0,0.0,1.0
24,110.46063,0.0,0.6566805,0.0,0.0,1.0,1.0
25,146.87927,0.0,0.65330005,1.0,3.948701,1.0,1.0
26,53.588932,0.0,0.68661255,0.0,0.0,1.0,1.0
27,59.629032,0.0,0.6791276,0.0,11.33138,1.0,1.0
28,47.31964,0.0,0.0,0.0,0.0,1.0,1.0
29,82.42062,0.0,0.0,0.0,0.0,1.0,1.0
30,119.917274,0.0,0.61137426,0.0,0.0,1.0,1.0
31,84.458145,0.0,0.70317817,0.0,0.0,1.0,1.0
32,16.581074,0.0,0.0,0.0,0.0,1.0,1.0
33,65.374626,0.0,0.7322258,0.0,0.0,1.0,1.0
34,23.154657,0.0,0.30355033,0.0,0.0,1.0,1.0
35,99.74991,0.0,0.7071227,0.0,0.0,1.0,1.0
36,126.376175,0.0,0.60957867,0.0,19.98999,1.0,1.0
37,45.890232,0.0,0.0,0.0,0.0,0.0,1.0
38,120.094315,0.0,0.6583438,0.0,0.0,1.0,1.0
39,126.25626,0.0,0.63181347,0.0,1.5157166,1.0,1.0
40,71.05453,0.0,0.66730326,0.0,0.0,1.0,1.0
41,64.14901,0.0,0.71248496,0.0,0.0,1.0,1.0
42,9.651924,0.0,0.0,0.0,0.0,0.0,1.0
43,62.89464,0.0,0.0,0.0,0.0,1.0,1.0
44,102.73714,0.0,0.32396075,0.0,0.0,0.0,1.0
45,36.83505,0.0,0.7672922,0.0,0.0,1.0,1.0
46,45.3158,0.0,0.0,0.0,0.0,1.0,1.0
47,59.441063,0.0,0.669805,0.0,0.0,1.0,1.0
48,43.48995,0.0,0.7325989,0.0,96.06238,1.0,1.0
49,89.476875,0.0,0.7425631,0.0,1.319508,1.0,1.0
50,32.891266,0.0,0.14867161,0.0,0.0,0.0,1.0
51,111.57897,0.0,0.60412884,0.0,4.816449,1.0,1.0
52,34.331364,0.0,0.34533304,0.0,0.0,1.0,1.0
53,94.40299,0.0,0.736954,0.0,35.01818,1.0,1.0
54,73.25754,0.0,0.16333216,0.0,0.0,1.0,1.0
55,45.509846,0.0,0.70542383,0.0,0.0,1.0,1.0
56,129.80534,0.0,0.61894834,0.0,0.0,1.0,1.0
57,74.10888,0.0,0.6954582,0.0,18.164236,1.0,1.0
58,59.493484,0.0,0.72838765,0.0,30.581793,1.0,1.0
59,119.17303,0.0,0.59386575,0.0,17.600454,1.0,1.0
60,74.393074,0.0,0.0,0.0,0.0,0.0,1.0
61,83.57439,0.0,0.3156288,0.0,0.0,1.0,1.0
62,121.545685,0.0,0.0,0.0,0.0,0.0,1.0
63,15.088567,0.0,0.0,0.0,0.0,0.0,1.0
64,29.525782,0.0,0.17121406,0.0,0.0,1.0,1.0
65,94.15614,0.0,0.6502784,0.0,0.0,1.0,1.0
66,85.11949,0.0,0.66961884,0.0,9.763121,1.0,1.0
67,87.885994,0.0,0.0,0.0,0.0,1.0,1.0
68,94.27076,0.0,0.32254085,0.0,0.0,1.0,1.0
69,127.367355,0.0,0.6178644,0.0,1.4309691,1.0,1.0
70,99.42005,0.0,0.6851991,0.0,0.0,1.0,1.0
71,178.7621,1.0,0.30470407,0.0,0.0,1.0,1.0
72,69.2898,0.0,0.66696525,0.0,0.0,1.0,1.0
73,102.73827,0.0,0.6322584,0.0,0.0,1.0,1.0
74,113.2735,0.0,0.64228565,0.0,14.042309,1.0,1.0
75,70.70253,0.0,0.68608004,0.0,80.66265,1.0,1.0
76,102.73714,0.0,0.6430159,0.0,0.0,1.0,1.0
77,8.621876,0.0,0.5253339,0.0,0.0,0.0,1.0
78,107.89495,0.0,0.7346625,0.0,0.0,1.0,1.0
79,44.55365,0.0,0.7275854,0.0,29.38615,1.0,1.0
80,97.06037,0.0,0.1506349,0.0,0.0,1.0,1.0
81,128.74734,0.0,0.63261825,1.0,0.0,1.0,1.0
82,74.79275,0.0,0.75592214,0.0,10.528342,1.0,1.0
83,76.941605,0.0,0.7139267,0.0,2.4022489,1.0,1.0
84,112.502075,0.0,0.1521218,0.0,0.0,1.0,1.0
85,7.0023766,0.0,0.0,0.0,0.0,0.0,1.0
86,87.222496,0.0,0.66707975,0.0,0.0,1.0,1.0
87,57.806107,0.0,0.16895048,0.0,0.0,1.0,1.0
88,70.55112,0.0,0.66169393,0.0,0.0,1.0,1.0
89,106.15623,0.0,0.71676856,0.0,0.0,1.0,1.0
90,81.69689,0.0,0.83458084,0.0,3.327607,1.0,1.0
91,60.165257,0.0,0.0,0.0,0.0,1.0,1.0
92,70.70253,0.0,0.7332866,0.0,50.76834,1.0,1.0
93,127.454285,0.0,0.78135854,1.0,0.0,1.0,1.0
94,74.49045,0.0,0.1669041,0.0,0.0,1.0,1.0
95,132.83008,0.0,0.6080149,1.0,32.38947,1.0,1.0
96,41.593575,0.0,0.7372529,0.0,0.0,1.0,1.0
97,59.75973,0.0,0.32785177,0.0,0.0,1.0,1.0
98,123.011,0.0,0.0,0.0,0.0,0.0,1.0
99,70.70253,0.0,0.83915603,0.0,0.0,1.0,1.0
100,91.771164,0.0,0.7035177,0.0,0.0,1.0,1.0
101,107.991974,0.0,0.6697194,0.0,0.0,1.0,1.0
102,137.19836,0.0,0.59451544,1.0,0.0,1.0,1.0
103,72.77305,0.0,0.16746879,0.0,0.0,1.0,1.0
104,74.99665,0.0,0.7108409,0.0,0.0,0.0,1.0
105,55.35328,0.0,0.36233804,0.0,0.0,1.0,1.0
106,77.80468,0.0,0.69115007,0.0,6.3883443,1.0,1.0
107,10.816793,0.0,0.0,0.0,0.0,0.0,1.0
108,94.620544,0.0,0.157329,0.0,0.0,1.0,1.0
109,70.882645,0.0,0.66977024,0.0,0.0,1.0,1.0
