,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,12.461807,1.0,1.0174556,1.0,25.8,1.0,1.0
1,12.046227,1.0,1.0866207,1.0,2.4,1.0,1.0
2,1.6285746,1.0,0.0,0.0,0.8,1.0,1.0
3,16.50761,1.0,0.87811416,1.0,41.8,1.0,1.0
4,8.48872,1.0,1.4392403,1.0,5.0,1.0,1.0
5,9.324139,1.0,1.048926,1.0,246.6,1.0,1.0
6,10.998044,1.0,0.95734185,1.0,80.6,1.0,1.0
7,8.408853,1.0,0.9802959,1.0,55.8,1.0,1.0
8,15.374934,1.0,0.9483294,1.0,9.2,1.0,1.0
9,8.936114,1.0,1.0901871,1.0,43.4,1.0,1.0
10,17.677706,1.0,0.0,1.0,0.0,1.0,1.0
11,9.047777,1.0,1.0174142,1.0,85.8,1.0,1.0
12,7.625556,1.0,0.0,0.0,3.8,1.0,1.0
13,11.043285,1.0,0.92243725,1.0,50.2,1.0,1.0
14,17.41111,1.0,0.8315155,1.0,6.0,1.0,1.0
15,6.57557,1.0,1.199835,1.0,0.4,1.0,1.0
16,18.890148,1.0,0.83460253,1.0,12.2,1.0,1.0
17,21.722595,1.0,1.111886,1.0,3.0,1.0,1.0
18,24.970524,1.0,0.8109929,1.0,29.6,1.0,1.0
19,4.6448565,1.0,1.3146323,1.0,5.6,1.0,1.0
20,15.6278,1.0,0.90760696,1.0,18.8,1.0,1.0
21,12.259068,1.0,0.9112094,1.0,69.6,1.0,1.0
22,14.69828,1.0,0.4626808,1.0,0.6,1.0,1.0
23,28.662916,1.0,0.9419683,1.0,3.0,1.0,1.0
24,17.630728,1.0,1.2792616,1.0,2.2,1.0,1.0
25,10.663332,1.0,0.5310086,1.0,3.0,1.0,1.0
26,2.76404,1.0,0.24044918,0.0,2.0,1.0,1.0
27,8.135646,1.0,0.91499954,1.0,189.4,1.0,1.0
28,8.373834,1.0,1.0256735,1.0,3.2,1.0,1.0
29,15.390357,1.0,0.9525083,1.0,293.8,1.0,1.0
30,16.474045,1.0,0.8214941,1.0,227.6,1.0,1.0
31,4.3923,1.0,1.2237128,1.0,42.6,1.0,1.0
32,13.82603,1.0,0.9157556,1.0,166.2,1.0,1.0
33,20.536325,1.0,0.0,1.0,0.0,1.0,1.0
34,17.849676,1.0,0.91538584,1.0,23.8,1.0,1.0
35,7.8747883,1.0,1.3908392,1.0,15.8,1.0,1.0
36,26.773727,1.0,0.7940449,1.0,36.4,1.0,1.0
37,17.41111,1.0,0.8153234,1.0,14.6,1.0,1.0
38,15.831278,1.0,0.0,0.0,0.0,0.0,1.0
39,9.523531,1.0,0.97454745,1.0,44.2,1.0,1.0
40,35.201817,1.0,0.5508784,1.0,3.8,1.0,1.0
41,7.8526654,1.0,0.22115143,0.0,42.6,1.0,1.0
42,21.767494,1.0,0.9537804,1.0,5.6,1.0,1.0
43,3.4598417,1.0,1.4791939,1.0,154.8,1.0,1.0
44,21.623924,1.0,0.78399915,1.0,23.0,1.0,1.0
45,16.840956,1.0,1.0082139,1.0,4.4,1.0,1.0
46,17.429342,1.0,1.250538,1.0,7.8,1.0,1.0
47,0.76885927,1.0,0.0,0.0,0.0,1.0,1.0
48,11.484708,1.0,0.85549146,1.0,35.2,1.0,1.0
49,20.919867,1.0,0.0,1.0,0.0,1.0,1.0
50,21.767494,1.0,0.91562515,1.0,5.6,1.0,1.0
51,1.4706755,1.0,1.7053131,1.0,5.8,1.0,1.0
52,7.685296,1.0,1.1346511,1.0,1.2,1.0,1.0
53,4.469422,1.0,0.0,0.0,0.2,0.0,1.0
54,24.671581,1.0,0.19608356,1.0,47.6,1.0,1.0
55,6.6313334,1.0,1.0174142,1.0,96.6,1.0,1.0
56,6.072091,1.0,1.0492824,1.0,68.4,1.0,1.0
57,9.146704,1.0,0.96403635,1.0,75.0,1.0,1.0
58,5.317345,1.0,1.2258816,1.0,1.2,1.0,1.0
59,21.460054,1.0,0.8160877,1.0,179.0,1.0,1.0
60,8.691669,1.0,1.0839326,1.0,110.2,1.0,1.0
61,8.17166,1.0,0.9278844,1.0,82.6,1.0,1.0
62,30.914648,1.0,0.72001356,1.0,96.4,1.0,1.0
63,1.8338457,1.0,0.0,0.0,1.2,1.0,1.0
64,19.074602,1.0,1.3993174,1.0,29.4,1.0,1.0
65,1.3940179,1.0,0.0,0.0,0.4,0.0,1.0
66,5.9706097,1.0,1.3956534,1.0,61.4,1.0,1.0
67,4.153133,1.0,1.2781638,1.0,29.0,1.0,1.0
68,10.199448,1.0,0.93091583,1.0,11.6,1.0,1.0
69,32.78663,1.0,0.7829671,1.0,13.8,1.0,1.0
70,10.28592,1.0,1.0075431,1.0,14.6,1.0,1.0
71,7.413492,1.0,1.0848179,1.0,143.2,1.0,1.0
72,9.835203,1.0,0.99068105,1.0,20.4,1.0,1.0
73,7.906424,1.0,1.3510195,1.0,1.8,1.0,1.0
74,2.1154504,1.0,1.8303857,1.0,16.8,1.0,1.0
75,28.50598,1.0,0.22569202,1.0,4.8,1.0,1.0
76,17.501484,1.0,0.47292203,1.0,0.6,1.0,1.0
77,13.903757,1.0,1.030745,1.0,6.4,1.0,1.0
78,7.933394,1.0,1.460285,1.0,80.8,1.0,1.0
79,18.15789,1.0,0.8227983,1.0,81.0,1.0,1.0
80,10.314514,1.0,0.0,0.0,1.0,1.0,1.0
81,22.864622,1.0,0.8580557,1.0,10.4,1.0,1.0
82,7.334815,1.0,1.1441269,1.0,0.6,1.0,1.0
83,23.289484,1.0,0.48577103,1.0,0.8,1.0,1.0
84,2.2117958,1.0,0.0,0.0,0.6,1.0,1.0
85,5.2629786,1.0,0.2282049,0.0,8.4,1.0,1.0
86,30.914648,1.0,0.761338,1.0,31.8,1.0,1.0
87,14.467468,1.0,0.9396157,1.0,6.4,1.0,1.0
88,8.73791,1.0,1.0611204,1.0,1.8,1.0,1.0
89,12.046227,1.0,0.9475449,1.0,1.2,1.0,1.0
90,9.687568,1.0,0.47718433,1.0,1.0,1.0,1.0
91,8.780473,1.0,1.0558583,1.0,185.2,1.0,1.0
92,3.6134233,1.0,1.2193218,1.0,26.4,1.0,1.0
93,13.902116,1.0,1.0984647,1.0,3.0,1.0,1.0
94,8.13518,1.0,0.2556222,1.0,1.0,1.0,1.0
95,13.51059,1.0,0.51448625,1.0,0.0,1.0,1.0
96,9.645659,1.0,1.1024653,1.0,1.6,1.0,1.0
97,9.324139,1.0,1.0010134,1.0,109.6,1.0,1.0
98,11.035606,1.0,0.9528299,1.0,1.8,0.0,1.0
99,9.551898,1.0,0.9720891,1.0,25.4,1.0,1.0
100,10.998044,1.0,0.95734185,1.0,56.6,1.0,1.0
101,12.86688,1.0,0.8838432,1.0,238.0,1.0,1.0
102,9.889773,1.0,1.0895824,1.0,13.8,1.0,1.0
103,17.845415,1.0,0.9681399,1.0,3.2,1.0,1.0
104,25.775679,1.0,0.41707027,1.0,0.4,1.0,1.0
105,5.6455097,1.0,1.0513921,1.0,8.8,1.0,1.0
106,1.7308152,1.0,0.0,0.0,0.2,1.0,1.0
107,17.475412,1.0,0.21810405,1.0,1.0,1.0,1.0
108,2.3239224,1.0,0.0,0.0,0.0,1.0,1.0
109,28.79827,1.0,0.0,1.0,1.6,1.0,1.0
110,17.430447,1.0,0.8832292,1.0,38.0,1.0,1.0
111,5.6420627,1.0,1.0576081,1.0,3.4,1.0,1.0
112,5.992071,1.0,0.2675464,0.0,0.4,1.0,1.0
113,11.484708,1.0,0.0,0.0,4.8,1.0,1.0
114,33.81451,1.0,0.7870929,1.0,1.2,1.0,1.0
115,5.1701694,1.0,1.1939574,1.0,13.4,1.0,1.0
116,9.835203,1.0,1.0626726,1.0,20.2,1.0,1.0
117,7.3528404,1.0,0.26118925,1.0,0.8,1.0,1.0
118,12.733957,1.0,0.9338131,1.0,32.2,1.0,1.0
119,6.3754563,1.0,0.954675,1.0,2.4,1.0,1.0
120,6.726129,1.0,1.0719081,1.0,6.2,1.0,1.0
121,2.869529,1.0,0.0,0.0,7.6,1.0,1.0
122,0.65700424,1.0,0.0,0.0,0.0,0.0,1.0
123,31.991459,1.0,0.89181143,1.0,1.8,1.0,1.0
124,23.916859,1.0,1.0240442,1.0,6.4,1.0,1.0
125,16.417528,1.0,0.91217023,1.0,11.0,1.0,1.0
126,9.324139,1.0,1.0777892,1.0,373.2,1.0,1.0
127,3.0305524,1.0,0.43229124,1.0,1.2,1.0,1.0
128,11.715021,1.0,0.9458189,1.0,18.8,1.0,1.0
129,15.467611,1.0,1.0929818,1.0,0.4,1.0,1.0
130,9.7867985,1.0,0.9940456,1.0,180.6,1.0,1.0
131,14.089548,1.0,1.1064441,1.0,3.2,1.0,1.0
132,16.245241,1.0,0.85807914,1.0,3.4,1.0,1.0
133,14.691275,1.0,0.9334909,1.0,49.4,1.0,1.0
134,9.146704,1.0,1.1059867,1.0,39.4,1.0,1.0
135,25.24275,1.0,0.0,1.0,0.4,1.0,1.0
136,9.032491,1.0,0.9474828,1.0,49.2,1.0,1.0
137,12.753957,1.0,0.9528928,1.0,8.4,1.0,1.0
138,3.2440646,1.0,1.4644964,1.0,0.4,1.0,1.0
139,8.263185,1.0,1.00524,1.0,8.2,1.0,1.0
140,33.68359,1.0,0.0,1.0,1.6,1.0,1.0
141,6.1555734,1.0,1.0076029,1.0,7.6,1.0,1.0
142,16.353321,1.0,0.8704096,1.0,60.8,1.0,1.0
143,8.510748,1.0,1.154967,1.0,4.2,1.0,1.0
144,6.9704733,1.0,0.9085331,1.0,13.8,1.0,1.0
145,13.01404,1.0,0.9480243,1.0,1.8,1.0,1.0
146,11.752877,1.0,0.5059815,1.0,3.2,1.0,1.0
147,1.2188874,1.0,0.0,0.0,0.0,0.0,1.0
148,5.436016,1.0,0.0,0.0,0.2,0.0,1.0
149,18.386017,1.0,0.0,1.0,0.2,1.0,1.0
150,4.2737494,1.0,1.1558627,1.0,4.0,1.0,1.0
151,26.48703,1.0,0.8610952,1.0,23.6,1.0,1.0
152,14.102848,1.0,0.0,0.0,5.8,1.0,1.0
153,10.435722,1.0,1.171486,1.0,304.0,1.0,1.0
154,35.317722,1.0,0.8617868,1.0,5.6,1.0,1.0
155,5.9642606,1.0,1.0224888,1.0,127.4,1.0,1.0
156,4.7170243,1.0,1.0958078,1.0,29.8,1.0,1.0
157,9.008812,1.0,0.9453416,1.0,36.0,1.0,1.0
158,9.286551,1.0,0.9531971,1.0,242.0,1.0,1.0
159,8.142883,1.0,0.99676454,1.0,200.2,1.0,1.0
160,1.9219283,1.0,0.0,0.0,0.0,0.0,1.0
161,6.6113343,1.0,1.1895283,1.0,2.2,1.0,1.0
162,13.561742,1.0,0.90255255,1.0,2.8,1.0,1.0
163,3.289234,1.0,1.2234923,1.0,2.4,1.0,1.0
164,7.2672687,1.0,1.0601153,1.0,12.0,1.0,1.0
165,2.3241067,1.0,0.0,0.0,0.2,1.0,1.0
166,17.903076,1.0,0.41378516,1.0,0.0,1.0,1.0
167,15.770219,1.0,1.031231,1.0,15.6,1.0,1.0
168,12.914669,1.0,0.92649037,1.0,2.4,1.0,1.0
169,30.914648,1.0,0.18059231,1.0,0.2,1.0,1.0
170,5.6387024,1.0,0.26425737,0.0,0.0,1.0,1.0
171,26.773727,1.0,0.85238683,1.0,10.8,1.0,1.0
172,27.764688,1.0,0.79240966,1.0,18.2,1.0,1.0
173,14.432087,1.0,0.95682013,1.0,5.0,1.0,1.0
174,4.176492,1.0,0.24423933,0.0,2.0,1.0,1.0
175,32.048454,1.0,0.78594613,1.0,0.6,1.0,1.0
