,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,66.78759,1.0,0.0,1.0,0.0,1.0,1.0
1,162.1697,1.0,0.0,1.0,1.0,1.0,1.0
2,83.25242,1.0,0.0,1.0,0.0,1.0,1.0
3,67.556915,1.0,0.88489634,1.0,3.6,1.0,1.0
4,5.0411057,1.0,0.0,1.0,0.0,1.0,1.0
5,6.8546615,1.0,0.0,1.0,0.0,1.0,1.0
6,8.122376,1.0,0.0,1.0,0.2,1.0,1.0
7,116.65488,1.0,0.3776046,1.0,0.0,1.0,1.0
8,0.55418706,1.0,0.0,1.0,0.0,1.0,1.0
9,126.44454,1.0,0.0,1.0,0.0,1.0,1.0
10,87.33036,1.0,0.74107075,1.0,2.6,1.0,1.0
11,38.713394,1.0,0.54126495,1.0,0.8,1.0,1.0
12,31.266132,1.0,0.21443403,1.0,0.0,1.0,1.0
13,33.352093,1.0,0.5324401,1.0,3.6,1.0,1.0
14,50.464546,1.0,0.3482064,1.0,0.0,1.0,1.0
15,7.7758636,1.0,0.0,1.0,0.0,1.0,1.0
16,232.34286,1.0,0.14965336,1.0,0.4,1.0,1.0
17,47.218204,1.0,0.0,1.0,0.0,1.0,1.0
18,7.225269,1.0,1.3241795,1.0,0.6,1.0,1.0
19,28.9157,1.0,0.5897819,1.0,0.4,1.0,1.0
20,42.250732,1.0,0.0,1.0,0.0,1.0,1.0
21,10.61378,1.0,0.0,1.0,0.0,1.0,1.0
22,21.03963,1.0,0.0,1.0,0.0,1.0,1.0
23,65.89657,1.0,0.44673142,1.0,3.2,1.0,1.0
24,162.1697,1.0,0.16542582,1.0,0.0,1.0,1.0
25,13.638826,1.0,0.0,1.0,0.0,1.0,1.0
26,193.6922,1.0,0.75123054,1.0,0.0,1.0,1.0
27,62.81654,1.0,0.0,1.0,0.0,1.0,1.0
28,39.482536,1.0,0.0,1.0,0.0,1.0,1.0
29,20.841679,1.0,0.0,1.0,0.0,1.0,1.0
30,17.889242,1.0,0.0,1.0,1.2,1.0,1.0
31,158.02603,1.0,0.17280418,1.0,0.0,1.0,1.0
32,11.769022,1.0,0.4026442,1.0,0.2,1.0,1.0
33,169.79749,1.0,0.85275227,1.0,0.0,1.0,1.0
34,19.058655,1.0,0.5775926,1.0,0.0,1.0,1.0
35,15.791205,1.0,0.0,1.0,0.0,1.0,1.0
36,9.919233,1.0,0.97925085,1.0,0.4,1.0,1.0
37,7.7367406,1.0,0.0,1.0,0.0,0.0,1.0
38,35.89827,1.0,0.0,1.0,0.0,1.0,1.0
39,147.12201,1.0,0.87231755,1.0,2.8,1.0,1.0
40,106.45632,1.0,0.78236413,1.0,19.0,1.0,1.0
41,148.34799,1.0,0.7589272,1.0,0.4,1.0,1.0
42,200.4721,1.0,0.15544991,1.0,0.4,1.0,1.0
43,6.774175,1.0,0.0,1.0,0.0,0.0,1.0
44,17.696058,1.0,0.0,1.0,0.0,1.0,1.0
45,2.5494156,1.0,0.0,1.0,0.0,1.0,1.0
46,206.7091,1.0,0.1569041,1.0,0.0,1.0,1.0
47,10.009688,1.0,0.92639637,1.0,0.6,1.0,1.0
48,32.703625,1.0,0.0,1.0,0.0,1.0,1.0
49,4.670632,1.0,0.0,1.0,0.0,1.0,1.0
50,23.242285,1.0,1.0352544,1.0,1.2,1.0,1.0
51,2.069161,1.0,0.0,1.0,0.0,1.0,1.0
52,292.39337,1.0,0.77966577,1.0,0.0,1.0,1.0
53,52.433197,1.0,1.0163126,1.0,0.0,1.0,1.0
54,44.178925,1.0,0.0,1.0,0.0,1.0,1.0
55,42.417152,1.0,0.3762415,1.0,0.2,1.0,1.0
56,10.650297,1.0,0.42705822,1.0,0.0,1.0,1.0
57,93.727104,1.0,0.4047398,1.0,0.0,1.0,1.0
58,115.11396,1.0,0.0,1.0,0.0,1.0,1.0
59,2.9327261,1.0,0.0,1.0,0.0,1.0,1.0
60,48.18151,1.0,0.75349355,1.0,12.4,1.0,1.0
61,12.76583,1.0,0.9135652,1.0,1.0,1.0,1.0
62,56.502857,1.0,0.0,1.0,0.0,1.0,1.0
63,14.133871,1.0,1.1820703,1.0,0.4,1.0,1.0
64,18.659681,1.0,0.0,1.0,0.0,1.0,1.0
65,70.48012,1.0,0.0,1.0,0.0,1.0,1.0
66,7.5624647,1.0,0.0,1.0,0.0,1.0,1.0
67,51.115627,1.0,0.5149478,1.0,0.4,1.0,1.0
68,192.25769,1.0,0.7382123,1.0,0.4,1.0,1.0
69,155.83176,1.0,0.3655311,1.0,0.2,1.0,1.0
70,37.67865,1.0,1.0054665,1.0,0.0,1.0,1.0
71,147.12201,1.0,0.3450188,1.0,3.2,1.0,1.0
72,5.0728917,1.0,0.0,1.0,0.0,1.0,1.0
73,31.46442,1.0,0.0,1.0,0.0,1.0,1.0
74,17.346418,1.0,0.26118925,1.0,0.0,1.0,1.0
75,15.76789,1.0,0.0,1.0,0.0,1.0,1.0
76,97.113235,1.0,0.3518789,1.0,1.8,1.0,1.0
77,9.383339,1.0,0.0,1.0,0.0,1.0,1.0
78,9.153988,1.0,0.48793295,1.0,2.2,1.0,1.0
79,45.55108,1.0,0.0,1.0,0.2,1.0,1.0
80,11.503641,1.0,0.19853275,1.0,0.0,1.0,1.0
81,32.94247,1.0,0.0,1.0,0.0,1.0,1.0
82,14.037933,1.0,0.0,1.0,5.4,1.0,1.0
83,7.824272,1.0,0.0,1.0,0.0,1.0,1.0
84,32.552364,1.0,0.86994463,1.0,2.4,1.0,1.0
85,116.47833,1.0,0.16746879,1.0,0.4,1.0,1.0
86,45.208,1.0,0.0,1.0,0.0,1.0,1.0
87,55.977486,1.0,0.74853617,1.0,29.8,1.0,1.0
88,8.749268,1.0,0.0,1.0,0.0,1.0,1.0
89,48.656548,1.0,0.18603687,1.0,0.2,1.0,1.0
90,10.689138,1.0,0.0,1.0,0.0,1.0,1.0
91,6.725758,1.0,0.0,1.0,0.0,1.0,1.0
92,19.096233,1.0,0.15099499,1.0,1.0,1.0,1.0
93,52.665833,1.0,0.86770964,1.0,0.2,1.0,1.0
94,9.518643,1.0,0.0,1.0,0.0,1.0,1.0
95,45.55108,1.0,0.858955,1.0,0.6,1.0,1.0
96,5.7358127,1.0,0.0,1.0,0.8,1.0,1.0
97,129.46233,1.0,0.0,1.0,0.0,1.0,1.0
98,153.53786,1.0,0.16208477,1.0,0.4,1.0,1.0
99,3.980623,1.0,0.0,1.0,0.0,1.0,1.0
100,10.803725,1.0,0.9237116,1.0,0.0,1.0,1.0
101,21.162977,1.0,0.0,1.0,0.2,1.0,1.0
102,35.07405,1.0,0.41759384,1.0,0.0,1.0,1.0
103,16.326424,1.0,0.16344951,1.0,1.4,1.0,1.0
104,1.3929065,1.0,0.0,1.0,0.0,1.0,1.0
105,34.981297,1.0,0.0,1.0,0.4,1.0,1.0
106,2.069021,1.0,1.3129641,1.0,18.4,1.0,1.0
107,11.065832,1.0,0.0,1.0,0.2,1.0,1.0
108,14.534142,1.0,0.0,1.0,1.4,1.0,1.0
109,158.02603,1.0,0.4492388,1.0,0.6,1.0,1.0
110,15.262167,1.0,0.0,1.0,0.0,0.0,1.0
111,46.581993,1.0,0.0,1.0,0.2,1.0,1.0
112,12.742477,1.0,0.187017,1.0,1.0,1.0,1.0
113,16.510965,1.0,1.0670233,1.0,0.6,1.0,1.0
114,6.629962,1.0,1.5146668,1.0,0.4,1.0,1.0
115,200.4721,1.0,0.4891969,1.0,0.0,1.0,1.0
116,40.77356,1.0,0.0,1.0,0.0,1.0,1.0
117,7.807719,1.0,0.0,1.0,0.0,1.0,1.0
118,33.95142,1.0,0.7915026,1.0,0.4,1.0,1.0
119,40.63317,1.0,0.9438802,1.0,0.2,1.0,1.0
120,206.7091,1.0,0.41809335,1.0,0.0,1.0,1.0
121,9.345916,1.0,0.0,1.0,0.0,1.0,1.0
122,26.615387,1.0,0.0,1.0,0.0,1.0,1.0
123,2.1938987,1.0,0.19752716,1.0,0.0,1.0,1.0
124,48.692448,1.0,0.89073694,1.0,0.2,1.0,1.0
125,106.45632,1.0,0.8295475,1.0,0.8,1.0,1.0
126,43.07284,1.0,0.15544991,1.0,1.0,1.0,1.0
127,20.236628,1.0,1.0568671,1.0,0.0,1.0,1.0
128,151.52286,1.0,0.0,1.0,0.0,1.0,1.0
129,30.646265,1.0,0.0,1.0,0.0,1.0,1.0
130,123.482765,1.0,0.18838538,1.0,0.2,1.0,1.0
131,5.108941,1.0,0.21193181,1.0,1.2,1.0,1.0
132,6.5951333,1.0,0.0,1.0,0.0,1.0,1.0
133,6.6866918,1.0,0.0,1.0,0.0,1.0,1.0
134,54.072433,1.0,1.0563433,1.0,0.4,1.0,1.0
135,27.315237,1.0,0.0,1.0,0.0,1.0,1.0
136,80.1414,1.0,0.37485304,1.0,0.0,1.0,1.0
137,2.2624817,1.0,0.0,1.0,0.0,1.0,1.0
138,25.130482,1.0,0.52402765,1.0,0.0,1.0,1.0
139,30.553766,1.0,0.0,1.0,0.0,1.0,1.0
140,67.422066,1.0,0.79101753,1.0,5.4,1.0,1.0
141,59.17157,1.0,0.1934055,1.0,0.0,1.0,1.0
142,9.358432,1.0,0.0,1.0,0.0,1.0,1.0
143,2.069021,1.0,1.3129641,1.0,0.6,1.0,1.0
144,4.572367,1.0,1.0609678,1.0,8.4,1.0,1.0
145,23.108276,1.0,0.0,1.0,0.0,1.0,1.0
146,21.539736,1.0,0.0,1.0,0.0,1.0,1.0
147,95.65436,1.0,0.0,1.0,0.0,1.0,1.0
148,4.3296113,1.0,0.28853902,1.0,0.2,1.0,1.0
149,40.63317,1.0,0.9070442,1.0,5.2,1.0,1.0
150,41.170273,1.0,1.080778,1.0,0.4,1.0,1.0
151,17.095331,1.0,1.1535457,1.0,0.8,1.0,1.0
152,86.62752,1.0,0.0,1.0,0.0,1.0,1.0
153,22.878553,1.0,0.0,1.0,0.6,1.0,1.0
154,29.40511,1.0,0.0,1.0,0.0,1.0,1.0
155,180.56093,1.0,0.7537635,1.0,0.0,1.0,1.0
156,5.2069616,1.0,0.0,1.0,1.0,1.0,1.0
157,200.4721,1.0,0.7639979,1.0,1.0,1.0,1.0
158,116.38732,1.0,0.37998763,1.0,0.0,1.0,1.0
159,50.908348,1.0,0.38641083,1.0,1.4,1.0,1.0
160,7.7971797,1.0,1.1254907,1.0,0.8,1.0,1.0
161,18.750378,1.0,0.0,1.0,0.0,1.0,1.0
162,110.25772,1.0,0.85875744,1.0,0.4,1.0,1.0
163,7.1714454,1.0,0.0,1.0,0.0,1.0,1.0
164,34.237873,1.0,0.84913415,1.0,0.4,1.0,1.0
165,55.284992,1.0,0.16333216,1.0,0.0,1.0,1.0
166,4.9654937,1.0,0.0,1.0,0.0,1.0,1.0
167,5.1160088,1.0,0.7315887,1.0,0.0,1.0,1.0
168,11.026597,1.0,0.0,1.0,0.0,1.0,1.0
169,152.02238,1.0,0.6304134,1.0,0.8,1.0,1.0
170,28.877197,1.0,0.0,1.0,0.2,1.0,1.0
