,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,3.0069613,1.0,1.371737,1.0,0.05,1.0,1.0
1,8.755928,1.0,0.24627854,1.0,0.010526316,1.0,1.0
2,8.982157,1.0,0.9814487,1.0,0.046511628,1.0,1.0
3,5.2740564,1.0,1.1578307,1.0,0.10526316,1.0,1.0
4,2.9333231,1.0,0.64846617,1.0,0.06451613,1.0,1.0
5,6.993218,1.0,1.5691788,1.0,0.23529412,1.0,1.0
6,3.857717,1.0,1.3466909,1.0,0.071428575,1.0,1.0
7,7.1142545,1.0,1.0267678,1.0,0.033613447,1.0,1.0
8,4.3501024,1.0,1.2411467,1.0,0.06153846,1.0,1.0
9,12.386133,1.0,1.1750607,1.0,0.06451613,1.0,1.0
10,11.731779,1.0,0.97990113,1.0,0.033613447,1.0,1.0
11,8.260951,1.0,1.1900374,1.0,0.054054055,1.0,1.0
12,5.416327,1.0,1.1732662,1.0,0.046511628,1.0,1.0
13,8.755928,1.0,0.98649853,1.0,0.032786883,1.0,1.0
14,2.9355693,1.0,0.0,0.0,0.0,1.0,1.0
15,6.101748,1.0,1.520565,1.0,0.0,1.0,1.0
16,8.260951,1.0,1.0315833,1.0,0.032,1.0,1.0
17,3.2968934,1.0,1.2968458,1.0,0.08510638,1.0,1.0
18,4.340638,1.0,1.371737,1.0,0.08510638,1.0,1.0
19,7.390848,1.0,1.1789293,1.0,0.2,1.0,1.0
20,5.0588727,1.0,1.3302604,1.0,0.2857143,1.0,1.0
21,3.9955015,1.0,0.3338082,1.0,0.0,1.0,1.0
22,6.3525724,1.0,0.0,0.0,0.0,1.0,1.0
23,8.9758,1.0,1.0129861,1.0,0.03448276,1.0,1.0
24,5.3733,1.0,0.62361705,1.0,0.0,1.0,1.0
25,8.755928,1.0,0.98649853,1.0,0.03125,1.0,1.0
26,11.731779,1.0,1.0113723,1.0,0.0,1.0,1.0
27,3.4146953,1.0,0.0,0.0,0.0,1.0,1.0
28,3.767178,1.0,1.237988,1.0,0.071428575,1.0,1.0
29,2.9150736,1.0,1.4661216,1.0,0.23529412,1.0,1.0
30,8.982157,1.0,0.9814487,1.0,0.02739726,1.0,1.0
31,4.527842,1.0,1.2984744,1.0,0.0,1.0,0.0
32,9.724041,1.0,1.1068237,1.0,0.0,1.0,0.0
33,2.4753883,1.0,0.0,0.0,0.0,1.0,0.0
34,0.30692768,1.0,0.0,0.0,0.0,1.0,0.0
35,4.9483576,1.0,0.0,0.0,0.0,1.0,0.0
36,3.9955015,1.0,0.0,0.0,0.0,1.0,0.0
37,3.4774044,1.0,0.0,0.0,0.0,1.0,0.0
38,5.0593734,1.0,0.0,0.0,0.0,1.0,0.0
39,3.7225125,1.0,1.442695,1.0,0.0,1.0,0.0
40,9.724041,1.0,0.0,0.0,0.0,1.0,0.0
41,0.32845873,1.0,0.0,0.0,0.0,1.0,0.0
42,9.724041,1.0,1.1068237,1.0,0.0,1.0,0.0
43,9.724041,1.0,0.0,0.0,0.0,1.0,
