,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,14.454506,1.0,0.39337444,1.0,0.0,1.0,1.0
1,47.016945,1.0,0.79745585,1.0,0.0,1.0,1.0
2,38.832954,1.0,0.7514965,1.0,0.00896861,1.0,1.0
3,95.62473,1.0,0.69626784,1.0,0.010204081,1.0,1.0
4,5.901062,0.0,0.23233849,1.0,0.04347826,0.0,1.0
5,26.559107,1.0,0.85876244,1.0,0.010869565,1.0,1.0
6,6.9244137,0.0,0.0,0.0,0.0,0.0,1.0
7,42.427826,1.0,0.7055283,1.0,0.0,1.0,1.0
8,7.219921,1.0,0.0,0.0,0.0,0.0,1.0
9,12.300065,1.0,0.0,1.0,0.0,1.0,1.0
10,15.893988,1.0,0.0,1.0,0.0,1.0,1.0
11,40.66654,1.0,0.18668607,1.0,0.006993007,1.0,1.0
12,9.420713,1.0,0.0,0.0,0.0,1.0,1.0
13,24.77124,1.0,0.69096863,1.0,0.0,1.0,1.0
14,54.742966,1.0,0.79191226,1.0,0.028571429,1.0,1.0
15,13.122293,1.0,0.95651656,1.0,0.0,1.0,1.0
16,65.20281,1.0,0.3721607,1.0,0.0,1.0,1.0
17,50.536842,1.0,0.43287632,1.0,0.0,1.0,1.0
18,12.540009,1.0,1.0874866,1.0,0.0,1.0,1.0
19,31.33027,1.0,0.17373954,1.0,0.010526316,1.0,1.0
20,6.7383237,0.0,0.32351544,1.0,0.0,0.0,1.0
21,47.07718,1.0,0.76109076,1.0,0.0,1.0,1.0
22,87.74576,1.0,0.0,1.0,0.0,1.0,1.0
23,17.687372,1.0,0.8423164,1.0,0.0,1.0,1.0
24,45.504925,1.0,0.8460101,1.0,0.0,1.0,1.0
25,23.401365,1.0,0.37482724,1.0,0.0,1.0,1.0
26,6.9386134,0.0,0.0,0.0,0.0,0.0,1.0
27,16.67647,1.0,0.0,1.0,0.0,1.0,1.0
28,26.865757,1.0,0.0,1.0,0.0,1.0,1.0
29,38.832954,1.0,0.86185926,1.0,0.008097166,1.0,1.0
