,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,12.449758,0.0,1.0174556,1.0,4.0,1.0,1.0
1,15.971826,0.0,0.947161,1.0,4.0,1.0,1.0
2,10.145354,0.0,0.0,0.0,0.0,0.0,1.0
3,16.502869,0.0,0.87811416,1.0,4.0,1.0,1.0
4,10.316945,0.0,0.93451643,1.0,4.0,1.0,1.0
5,11.210212,0.0,1.0054297,1.0,4.0,1.0,1.0
6,9.319474,0.0,1.048926,1.0,4.0,1.0,1.0
7,8.409963,0.0,0.9835583,1.0,4.0,1.0,1.0
8,9.048665,0.0,1.0174142,1.0,4.0,1.0,1.0
9,7.6610007,0.0,1.0340462,1.0,4.0,1.0,1.0
10,7.622526,0.0,0.0,0.0,0.0,0.0,1.0
11,11.038804,0.0,0.92243725,1.0,4.0,1.0,1.0
12,17.853996,1.0,0.8315155,1.0,4.0,1.0,1.0
13,6.5787454,0.0,1.1953118,1.0,0.0,0.0,1.0
14,11.246156,0.0,0.91324747,1.0,4.0,1.0,1.0
15,19.099209,1.0,0.83460253,1.0,4.0,1.0,1.0
16,9.319474,0.0,0.9319774,1.0,4.0,1.0,1.0
17,15.629193,0.0,0.9043013,1.0,4.0,1.0,1.0
18,12.467389,0.0,0.9112094,1.0,4.0,1.0,1.0
19,28.47541,1.0,0.95164335,1.0,4.0,1.0,1.0
20,27.011984,1.0,0.0,0.0,0.0,0.0,1.0
21,7.275895,0.0,1.3579831,1.0,4.0,1.0,1.0
22,17.915049,1.0,1.2783047,1.0,4.0,1.0,1.0
23,19.825254,1.0,0.0,0.0,0.0,0.0,1.0
24,8.134023,0.0,0.91499954,0.0,4.0,1.0,1.0
25,8.364234,0.0,1.0256735,1.0,4.0,1.0,1.0
26,14.00056,0.0,0.93662506,1.0,4.0,1.0,1.0
27,11.042352,0.0,0.92445505,1.0,4.0,1.0,1.0
28,16.447983,0.0,0.8214941,1.0,4.0,1.0,1.0
29,18.648714,1.0,0.8797406,1.0,4.0,1.0,1.0
30,10.861473,0.0,0.99675715,1.0,4.0,1.0,1.0
31,23.96819,1.0,1.0617727,1.0,4.0,1.0,1.0
32,5.4024653,0.0,0.0,0.0,0.0,0.0,1.0
33,18.059378,1.0,0.91538584,1.0,4.0,1.0,1.0
34,7.861871,0.0,1.3908392,1.0,4.0,1.0,1.0
35,27.32209,1.0,0.7940449,1.0,4.0,1.0,1.0
36,17.853996,1.0,0.8148737,1.0,4.0,1.0,1.0
37,8.779804,0.0,1.1704623,1.0,4.0,1.0,1.0
38,17.058773,0.0,0.8383058,1.0,4.0,1.0,1.0
39,4.238512,0.0,0.5708027,0.0,0.0,0.0,1.0
40,17.694723,1.0,0.4740606,0.0,0.0,0.0,1.0
41,14.111995,0.0,1.0058539,1.0,2.0,1.0,1.0
42,35.159042,1.0,0.5505042,1.0,2.0,1.0,1.0
43,15.766096,0.0,0.8448227,1.0,4.0,1.0,1.0
44,21.546124,1.0,0.9537804,1.0,4.0,1.0,1.0
45,8.681587,0.0,1.0201098,1.0,4.0,1.0,1.0
46,11.296514,0.0,0.22569202,0.0,1.0,1.0,1.0
47,12.11392,0.0,0.8533458,1.0,4.0,1.0,1.0
48,15.731709,0.0,0.40137044,0.0,1.0,1.0,1.0
49,8.180355,0.0,0.9424989,1.0,4.0,1.0,1.0
50,20.926624,1.0,0.0,0.0,0.0,0.0,1.0
51,24.1627,1.0,0.9515941,1.0,4.0,1.0,1.0
52,14.8689995,0.0,0.9058475,1.0,4.0,1.0,1.0
53,7.6782103,0.0,1.1037714,1.0,4.0,1.0,1.0
54,4.4654436,0.0,0.0,0.0,0.0,0.0,1.0
55,24.88775,1.0,0.19561861,0.0,0.0,0.0,1.0
56,7.563205,0.0,0.9622741,1.0,4.0,1.0,1.0
57,6.6299925,0.0,1.0174142,1.0,4.0,1.0,1.0
58,9.145362,0.0,0.96403635,1.0,4.0,1.0,1.0
59,5.30519,0.0,1.2258816,1.0,0.0,0.0,1.0
60,8.167954,0.0,0.9278844,1.0,4.0,1.0,1.0
61,15.554212,0.0,0.84645915,1.0,4.0,1.0,1.0
62,1.8304006,0.0,0.0,0.0,0.0,0.0,1.0
63,3.101809,0.0,1.2630681,1.0,4.0,1.0,1.0
64,14.111995,0.0,1.0058539,1.0,4.0,1.0,1.0
65,6.435523,0.0,1.3956534,1.0,4.0,1.0,1.0
66,4.15897,0.0,1.2781638,1.0,4.0,1.0,1.0
67,10.435899,0.0,0.93091583,1.0,4.0,1.0,1.0
68,9.828187,0.0,0.99068105,1.0,4.0,1.0,1.0
69,3.1561215,0.0,0.0,0.0,0.0,0.0,1.0
70,11.483648,0.0,0.2484255,0.0,0.0,0.0,1.0
71,13.8984,0.0,1.2464837,1.0,4.0,1.0,1.0
72,7.908808,0.0,1.3510195,1.0,0.0,0.0,1.0
73,2.13076,0.0,1.9235934,1.0,4.0,1.0,1.0
74,14.108711,0.0,1.0318978,1.0,4.0,1.0,1.0
75,13.464929,0.0,0.9106382,1.0,4.0,1.0,1.0
76,17.960756,1.0,0.82476985,1.0,4.0,1.0,1.0
77,7.561276,0.0,1.1441269,1.0,0.0,0.0,1.0
78,10.848174,0.0,0.0,0.0,0.0,0.0,1.0
79,23.286741,1.0,0.48577103,1.0,0.0,0.0,1.0
80,19.07102,1.0,0.22449978,0.0,0.0,0.0,1.0
81,16.330956,0.0,0.96577436,1.0,4.0,1.0,1.0
82,2.2113972,0.0,0.0,0.0,0.0,0.0,1.0
83,8.78,0.0,1.03282,1.0,4.0,1.0,1.0
84,9.483959,0.0,0.47652784,0.0,1.0,1.0,1.0
85,8.733471,0.0,1.0611204,1.0,4.0,1.0,1.0
86,9.326524,0.0,1.0452543,1.0,2.0,1.0,1.0
87,3.613674,0.0,1.2193218,1.0,4.0,1.0,1.0
88,13.510013,0.0,0.51448625,0.0,0.0,0.0,1.0
89,9.648288,0.0,1.1004261,1.0,4.0,1.0,1.0
90,11.034194,0.0,0.9528299,1.0,4.0,1.0,1.0
91,9.706358,0.0,0.9720891,1.0,0.0,0.0,1.0
92,6.260948,0.0,1.2890904,1.0,4.0,1.0,1.0
93,9.887565,0.0,1.0895824,1.0,4.0,1.0,1.0
94,17.840672,1.0,0.96639794,1.0,1.0,1.0,1.0
95,7.3330183,0.0,0.96594095,1.0,4.0,1.0,1.0
96,2.517067,0.0,0.0,0.0,0.0,0.0,1.0
97,4.05201,0.0,1.5261557,1.0,4.0,1.0,1.0
98,3.2975838,0.0,1.2117627,1.0,4.0,1.0,1.0
99,8.157694,0.0,0.0,0.0,0.0,0.0,1.0
100,17.468256,0.0,0.21810405,0.0,0.0,0.0,1.0
101,21.546124,1.0,1.0209914,1.0,4.0,1.0,1.0
102,2.1089153,0.0,0.0,0.0,0.0,0.0,1.0
103,15.671198,0.0,0.8924749,1.0,4.0,1.0,1.0
104,4.4731717,0.0,1.1499885,1.0,4.0,1.0,1.0
105,22.993252,1.0,0.88719547,1.0,4.0,1.0,1.0
106,28.798,1.0,0.57047606,1.0,1.0,1.0,1.0
107,17.430468,0.0,0.88434464,1.0,4.0,1.0,1.0
108,23.477928,1.0,0.8230171,1.0,4.0,1.0,1.0
109,33.811054,1.0,0.787629,1.0,0.0,0.0,1.0
110,5.1710534,0.0,1.1977799,1.0,4.0,1.0,1.0
111,9.828187,0.0,1.0626726,1.0,4.0,1.0,1.0
112,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,32.223705,1.0,0.89181143,1.0,1.0,1.0,1.0
114,7.0412936,0.0,1.0228052,1.0,4.0,1.0,1.0
115,11.210212,0.0,0.94978446,1.0,4.0,1.0,1.0
116,23.683517,1.0,1.0240442,1.0,4.0,1.0,1.0
117,3.0285714,0.0,0.43448687,0.0,0.0,0.0,1.0
118,11.708484,0.0,0.9458189,1.0,4.0,1.0,1.0
119,15.44362,0.0,1.0965205,1.0,0.0,0.0,1.0
120,9.759599,0.0,0.9940456,1.0,4.0,1.0,1.0
121,12.978882,0.0,1.1377919,1.0,4.0,1.0,1.0
122,16.053732,0.0,0.85807914,1.0,4.0,1.0,1.0
123,25.23417,1.0,0.0,0.0,0.0,0.0,1.0
124,13.34744,0.0,1.1424264,1.0,4.0,1.0,1.0
125,9.69269,0.0,0.9719426,1.0,4.0,1.0,1.0
126,17.197992,0.0,0.8664022,1.0,4.0,1.0,1.0
127,8.468838,0.0,1.00524,1.0,4.0,1.0,1.0
128,6.150605,0.0,1.0076029,1.0,4.0,1.0,1.0
129,15.035836,0.0,0.0,0.0,0.0,0.0,1.0
130,2.517067,0.0,1.2076612,1.0,4.0,1.0,1.0
131,9.377474,0.0,0.9340677,1.0,4.0,1.0,1.0
132,6.260948,0.0,1.3351061,1.0,4.0,1.0,1.0
133,12.802399,0.0,0.9480243,1.0,4.0,1.0,1.0
134,1.219583,0.0,0.0,0.0,0.0,0.0,1.0
135,5.428655,0.0,0.0,0.0,0.0,0.0,1.0
136,18.370993,1.0,0.0,0.0,0.0,0.0,1.0
137,8.579488,0.0,1.0042498,1.0,4.0,1.0,1.0
138,14.106751,0.0,0.0,0.0,0.0,0.0,1.0
139,1.92205,0.0,0.0,0.0,0.0,0.0,1.0
140,6.6134706,0.0,1.1895283,1.0,4.0,1.0,1.0
141,13.762792,0.0,0.90255255,1.0,4.0,1.0,1.0
142,27.092602,1.0,0.38723943,1.0,0.0,0.0,1.0
143,16.447983,0.0,0.8214941,1.0,4.0,1.0,1.0
144,7.260768,0.0,1.0601153,1.0,4.0,1.0,1.0
145,10.081451,0.0,0.97517806,1.0,4.0,1.0,1.0
146,17.694723,1.0,0.41610345,0.0,0.0,0.0,1.0
147,12.913702,0.0,0.92649037,1.0,4.0,1.0,1.0
148,5.622657,0.0,0.0,0.0,0.0,0.0,1.0
149,11.210212,0.0,0.9395411,1.0,4.0,1.0,1.0
150,11.680307,0.0,0.97556514,1.0,4.0,1.0,1.0
