,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2.790553,0.0,1.737178,0.0,6.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.55811065,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1.9344459,0.0,1.737178,0.0,19.227032,1.0,1.0
6,7.0234537,0.0,1.0332711,0.0,64.0,1.0,1.0
7,1.442695,0.0,0.0,0.0,0.0,0.0,1.0
8,20.924574,0.0,0.7862259,0.0,151.0,1.0,1.0
9,1.6381778,0.0,1.6366917,0.0,15.0,1.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,3.6590626,0.0,1.2097323,0.0,2.8619382,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,12.223865,0.0,0.7964786,0.0,2432.4966,1.0,1.0
17,4.435502,0.0,1.134314,0.0,3.0,1.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1.2857069,0.0,1.2009101,0.0,245.97043,1.0,1.0
20,1.6192783,0.0,2.2324426,1.0,0.0,0.0,1.0
21,21.69401,0.0,0.7921018,0.0,1078.3997,1.0,1.0
22,1.845271,0.0,0.0,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,1.1464165,0.0,2.88539,1.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.4342945,0.0,0.0,0.0,0.0,0.0,1.0
28,2.4540744,0.0,1.737178,0.0,3.0,1.0,1.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,7.809255,0.0,0.24627854,0.0,0.0,0.0,1.0
31,12.49348,0.0,0.89807814,0.0,11.0,1.0,1.0
32,7.5099177,0.0,1.134314,0.0,21.6538,1.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,3.7240965,0.0,0.0,0.0,0.0,0.0,1.0
35,3.1515782,0.0,1.2940618,0.0,1.0,1.0,1.0
36,1.7665823,0.0,0.0,0.0,0.0,0.0,1.0
37,4.142289,0.0,1.2004066,0.0,10.0,1.0,1.0
38,3.51454,0.0,1.258632,0.0,0.0,0.0,1.0
39,3.1515782,0.0,1.2940618,0.0,1.0,1.0,1.0
40,13.485346,0.0,0.8724162,0.0,928.596,1.0,1.0
41,0.98963886,0.0,0.0,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,15.930169,0.0,0.8270816,0.0,34.0,1.0,1.0
44,13.681624,0.0,0.861254,0.0,150.0,1.0,1.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,7.7988544,0.0,1.1584336,0.0,0.0,0.0,0.0
48,0.80617505,0.0,0.0,0.0,0.0,0.0,0.0
49,2.0369773,0.0,0.0,0.0,0.0,0.0,0.0
50,2.4812355,0.0,0.0,0.0,0.0,0.0,0.0
51,2.0369773,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0369773,0.0,1.737178,0.0,0.0,0.0,0.0
53,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
54,0.72422534,0.0,0.0,0.0,0.0,0.0,0.0
55,0.80617505,0.0,0.0,0.0,0.0,0.0,0.0
56,1.7430792,0.0,0.0,0.0,0.0,0.0,0.0
57,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
58,1.7418649,0.0,1.6097184,0.0,0.0,0.0,0.0
59,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
60,7.7988544,0.0,1.1584336,0.0,0.0,0.0,0.0
61,1.5262971,0.0,0.0,0.0,0.0,0.0,0.0
62,2.0369773,0.0,1.737178,0.0,0.0,0.0,0.0
63,0.2940141,0.0,0.0,0.0,0.0,0.0,0.0
64,4.091168,0.0,1.2472341,0.0,0.0,0.0,0.0
65,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
66,0.47235468,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0150527,0.0,0.0,0.0,0.0,0.0,0.0
69,0.47235468,0.0,0.0,0.0,0.0,0.0,0.0
70,1.086025,0.0,0.0,0.0,0.0,0.0,0.0
71,3.3053887,0.0,1.258632,0.0,0.0,0.0,0.0
72,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
73,3.2676172,0.0,1.258632,0.0,0.0,0.0,0.0
74,1.7430792,0.0,0.0,0.0,0.0,0.0,0.0
75,0.2940141,0.0,0.0,0.0,0.0,0.0,0.0
76,2.0369773,0.0,1.737178,0.0,0.0,0.0,0.0
77,0.2675464,0.0,0.0,0.0,0.0,0.0,0.0
78,0.25187066,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3.2676172,0.0,1.258632,0.0,0.0,0.0,0.0
