setting,Graph Name,PR1,PR2,ROC1,ROC2,PR3,ROC3
hedge-4_negtype-clique-1_seed-9_aa,email-Eu,0.9478755388995176,0.9606413438489796,0.6791974487220668,0.7367732758225118,,
hedge-4_negtype-clique-1_seed-9_aa,email-Enron,0.9373088821238784,0.9346363487641136,0.6135265700483092,0.5845410628019324,,
hedge-4_negtype-clique-1_seed-9_am,email-Eu,0.9814250448975342,0.9814061281097692,0.8557526116948868,0.8522729010844461,,
hedge-4_negtype-clique-1_seed-9_am,email-Enron,0.9825529106187778,0.978738483778892,0.8550724637681161,0.8333333333333333,,
hedge-4_negtype-clique-1_seed-9_cn,email-Eu,0.945536721267894,0.964621052013326,0.6723795102402913,0.748826075651203,,
hedge-4_negtype-clique-1_seed-9_cn,email-Enron,0.9344792565973926,0.9303644229360336,0.6099033816425121,0.572463768115942,,
hedge-4_negtype-clique-1_seed-9_gm,email-Eu,0.975976988949285,0.978318156283119,0.7949150338793803,0.7992283454932013,,
hedge-4_negtype-clique-1_seed-9_gm,email-Enron,0.9739502990884896,0.9683082623530344,0.7548309178743962,0.7234299516908214,,
hedge-4_negtype-clique-1_seed-9_hm,email-Eu,0.98816364892337,0.9881608956333232,0.9185938910047567,0.9183147493843588,,
hedge-4_negtype-clique-1_seed-9_hm,email-Enron,0.9816660257711404,0.9816660257711404,0.8381642512077294,0.8381642512077294,,
hedge-4_negtype-clique-1_seed-9_jc,email-Eu,0.9430474345385124,0.9425135911604142,0.6468437877605959,0.6490348582878295,,
hedge-4_negtype-clique-1_seed-9_jc,email-Enron,0.9620245887167328,0.9632359209155508,0.6847826086956522,0.6908212560386473,,
hedge-4_negtype-clique-10_seed-9_aa,email-Eu,0.1897681433630116,0.32189664852564115,0.6753715579628903,0.7577969214257427,,
hedge-4_negtype-clique-10_seed-9_aa,email-Enron,0.08628655482406347,0.11419106327287434,0.4820940978785971,0.5492963663095988,,
hedge-4_negtype-clique-10_seed-9_am,email-Eu,0.5091945128233307,0.5306569484635486,0.8644890693207479,0.8667897528825053,,
hedge-4_negtype-clique-10_seed-9_am,email-Enron,0.3147186252611959,0.3212802738629367,0.7874396135265699,0.7908212560386475,,
hedge-4_negtype-clique-10_seed-9_cn,email-Eu,0.18333732392033647,0.342490027321644,0.6720231086895878,0.7523535488127551,,
hedge-4_negtype-clique-10_seed-9_cn,email-Enron,0.08765503420946412,0.09519533088491626,0.489582020583911,0.546135265700483,,
hedge-4_negtype-clique-10_seed-9_gm,email-Eu,0.4852483647979279,0.6082219527871628,0.7915151082122425,0.8006516373785828,,
hedge-4_negtype-clique-10_seed-9_gm,email-Enron,0.4474236195572581,0.4668592548982711,0.787954211300147,0.7769691241335854,,
hedge-4_negtype-clique-10_seed-9_hm,email-Eu,0.4855896722092205,0.5614528844261725,0.8896875135393572,0.8559699348362622,,
hedge-4_negtype-clique-10_seed-9_hm,email-Enron,0.5228582519240365,0.5362458726051641,0.9052825036756984,0.9090527200168032,,
hedge-4_negtype-clique-10_seed-9_jc,email-Eu,0.13066027414307424,0.13255651917040362,0.6145531461095204,0.6253300942757309,,
hedge-4_negtype-clique-10_seed-9_jc,email-Enron,0.10434538559074656,0.10231034393106866,0.52547784078975,0.5285654274312119,,
hedge-4_negtype-clique-2_seed-9_aa,email-Eu,0.8272592605606899,0.8757059043719206,0.6849756151418357,0.7418107993893315,,
hedge-4_negtype-clique-2_seed-9_aa,email-Enron,0.7159597158761152,0.722974197193926,0.4559849704777241,0.5099302200751477,,
hedge-4_negtype-clique-2_seed-9_am,email-Eu,0.9470570003950922,0.948563825216784,0.8814907314696018,0.8829507772316618,,
hedge-4_negtype-clique-2_seed-9_am,email-Enron,0.9012316618619935,0.8907943215803616,0.7579173376274825,0.7337627482555018,,
hedge-4_negtype-clique-2_seed-9_cn,email-Eu,0.8245689758511426,0.8813910364297691,0.6819403570354409,0.742932959724057,,
hedge-4_negtype-clique-2_seed-9_cn,email-Enron,0.7207597839919688,0.7214374013266274,0.4683306494900698,0.5319377348362856,,
hedge-4_negtype-clique-2_seed-9_gm,email-Eu,0.9308475099582574,0.9389514397157012,0.8154936172966881,0.8249391806230798,,
hedge-4_negtype-clique-2_seed-9_gm,email-Enron,0.8953316249143509,0.8817198893851441,0.7383252818035426,0.7074610842726785,,
hedge-4_negtype-clique-2_seed-9_hm,email-Eu,0.9536091909653572,0.9535536265643282,0.9056604851082948,0.905563402534807,,
hedge-4_negtype-clique-2_seed-9_hm,email-Enron,0.912424521987741,0.9122744108558488,0.7992485238862049,0.7944176060118089,,
hedge-4_negtype-clique-2_seed-9_jc,email-Eu,0.7896999169841583,0.7907285679435394,0.6321864899129302,0.6353112162733235,,
